file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1200127.exe ,  4.74,  3.68,  0.00,  0.09,  0.00,  263315415,   92136000,   16023000,  283930207
1288015.exe ,  2.79,  2.20,  0.00,  0.05,  0.00,  143959591,  137965000,    5998000,  161991531
1412740.exe ,  6.36,  5.11,  0.00,  0.11,  0.00,  308623007,  175529000,   13962000,  327962209
1661747.exe ,  6.26,  5.02,  0.00,  0.10,  0.00,  304912738,  177615000,    8968000,  322764584
1738849.exe ,  4.36,  3.44,  0.00,  0.08,  0.00,  223075004,   88246000,   16856000,  241622788
1836986.exe ,  2.45,  1.90,  0.00,  0.04,  0.00,  132363835,  123286000,    9020000,  152087982
1867909.exe ,  4.30,  3.39,  0.00,  0.08,  0.00,  221215701,   93259000,    9921000,  241071682
199194.exe  ,  7.16,  5.76,  0.00,  0.12,  0.00,  340487260,  208999000,   12110000,  357947311
2010138.exe ,  2.86,  2.26,  0.00,  0.05,  0.00,  144882863,  133771000,   11063000,  162486885
2026322.exe ,  6.82,  5.42,  0.00,  0.12,  0.00,  338514178,  203195000,   16015000,  357567165
2065049.exe ,  6.19,  4.94,  0.00,  0.10,  0.00,  305608782,  180028000,    7001000,  322799972
2121340.exe ,  6.43,  5.16,  0.00,  0.11,  0.00,  312405754,  183537000,   10029000,  333964132
2143171.exe ,  4.39,  3.49,  0.00,  0.07,  0.00,  216877445,   84641000,   14936000,  236448293
2186188.exe ,  6.31,  5.03,  0.00,  0.11,  0.00,  310847800,  183115000,    9055000,  328001601
2401365.exe ,  4.68,  3.71,  0.00,  0.08,  0.00,  233861285,  102740000,   12316000,  253206282
2434801.exe ,  4.52,  3.61,  0.00,  0.08,  0.00,  222390105,   88742000,   14956000,  239589102
2449204.exe ,  4.37,  3.47,  0.00,  0.07,  0.00,  219623385,   89853000,   10982000,  236979988
2484484.exe ,  4.45,  3.54,  0.00,  0.08,  0.00,  220690737,   87882000,   15156000,  237536078
2555671.exe ,  4.44,  3.50,  0.00,  0.08,  0.00,  228538627,   96765000,   12816000,  245324057
2661841.exe ,  6.25,  4.99,  0.00,  0.10,  0.00,  305700081,  171267000,   15931000,  323277162
2770690.exe ,  5.06,  4.00,  0.00,  0.09,  0.00,  256342616,  127785000,   10061000,  275760324
2919030.exe ,  7.63,  6.11,  0.00,  0.13,  0.00,  371572527,  239144000,   13007000,  389114526
3018156.exe ,  4.57,  3.64,  0.00,  0.08,  0.00,  224359027,   88449000,   17376000,  241370974
3034704.exe ,  6.58,  5.29,  0.00,  0.11,  0.00,  316331743,  184675000,   12977000,  333153073
3166917.exe ,  6.43,  5.14,  0.00,  0.11,  0.00,  314467222,  179617000,   16055000,  334153774
3200505.exe ,  4.46,  3.53,  0.00,  0.08,  0.00,  225666864,   93672000,   13159000,  245534290
3587262.exe ,  2.62,  2.07,  0.00,  0.05,  0.00,  132945551,  127936000,    4997000,  150874868
3719646.exe ,  4.90,  3.89,  0.00,  0.08,  0.00,  241708726,  213551000,   28072000,  261228269
3846270.exe ,  4.35,  3.44,  0.00,  0.07,  0.00,  218699621,   92669000,    8058000,  237383493
4073298.exe ,  4.98,  3.95,  0.00,  0.08,  0.00,  249067372,  119454000,    9954000,  266346104
4107305.exe ,  4.39,  3.51,  0.00,  0.07,  0.00,  214789939,   87599000,    9954000,  233158387
4113619.exe ,  4.52,  3.59,  0.00,  0.08,  0.00,  223524040,   89453000,   16405000,  240005934
422946.exe  ,  4.57,  3.65,  0.00,  0.08,  0.00,  224123379,  215120000,    9005000,  244701615
4234695.exe ,  4.47,  3.58,  0.00,  0.07,  0.00,  218216877,  212129000,    5975000,  237941824
4425410.exe ,  8.32,  6.58,  0.00,  0.14,  0.00,  417656535,  278661000,   19738000,  434852893
4435988.exe ,  4.36,  3.45,  0.00,  0.07,  0.00,  218657385,   84453000,   16086000,  236927729
4449212.exe ,  4.31,  3.42,  0.00,  0.07,  0.00,  215931129,   78963000,   19234000,  233548858
4512446.exe ,  6.30,  5.03,  0.00,  0.11,  0.00,  308577165,  173504000,   16334000,  328511327
4581841.exe ,  4.54,  3.61,  0.00,  0.08,  0.00,  223774367,   94564000,   12072000,  242349438
4649581.exe ,  4.70,  3.73,  0.00,  0.08,  0.00,  234580699,  101003000,   15792000,  253161108
473956.exe  ,  4.39,  3.51,  0.00,  0.07,  0.00,  214664545,  207664000,    6988000,  234645965
4776310.exe ,  4.33,  3.43,  0.00,  0.07,  0.00,  216266916,   85641000,   11295000,  236454177
