file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1489349.exe,12045267,183989,57247050,6300251,57164066,6299128,93190,769985,529586422,27798,12282399,52,6908,210042943,130,3.74,3.12,157427614,155915000,1005000,203907436
1599310.exe,23888821,170004,69942211,6945493,69896614,6944731,68190,530535,331551117,14258,23675604,0,4246,353972669,131,2.17,1.8,96908860,95602000,1006000,117340965
1643497.exe,241231437,276883,198649086,2384683,199182637,2420256,127861,1037507,731804934,46397,241268700,133,1518162,963030037,133,5.21,4.34,220434931,219095000,1000000,239024558
2350693.exe,48522256,222496,72490230,7569215,72490751,7570781,120305,949799,661865660,35732,48855167,46,9220,411292324,136,4.63,3.84,199154006,196766000,1997000,219389288
2490708.exe,15708174,224997,47010450,6557646,47139306,6556466,104376,829774,557491096,26071,15314148,210,8243,164810181,133,3.85,3.19,168188214,165893000,1998000,189500361
2827190.exe,12361209,195734,59133628,7075473,59101528,7072903,97532,798142,531711551,31456,12534845,182,9218,256978561,127,3.76,3.13,159636622,157345000,2004000,181341268
3316605.exe,13028962,307175,58323475,7552743,58457911,7568019,160021,1309385,943469967,41941,13110264,118,12966,236097383,133,6.62,5.52,281395672,279174000,2001000,302692546
3933685.exe,22595325,145222,8141537,87006,8240689,76644,29089,194485,65420643,8054,23139692,123,3070,81795386,132,0.44,0.35,21907515,18635000,2942000,42685947
4253487.exe,16398670,524682,74959569,6599964,73745747,6766675,213766,736982,330475436,68727,16204949,149,14906,370645482,2178,2.13,1.73,100777879,96444000,4018000,121946231
4537272.exe,12076902,195908,56354820,6287269,56373962,6257799,104038,817877,529491108,29570,12348799,96,8233,208449377,132,3.67,3.05,158508493,157240000,1001000,178976947
4977530.exe,12414483,244419,47455488,7334535,47560908,7377229,105148,842778,574694389,24598,12213895,199,8082,155715356,132,3.98,3.32,167805573,166600000,997000,188163158
5312206.exe,12838961,234164,56640520,6933853,56690278,6933307,109334,854953,581242233,27432,12386220,190,8488,297967842,133,4.1,3.42,171912639,170516000,1003000,193531156
5899769.exe,12538240,241033,47543058,6391272,47769276,6439948,123266,849538,561464375,23301,12301937,79,8540,152859471,133,3.81,3.16,166077858,163814000,1985000,186422825
5943722.exe,12619743,245728,47926889,7434254,48019231,7466163,104792,849842,572893904,26168,12356267,355,8895,211472651,133,3.96,3.29,171442525,170089000,1000000,192255013
6130154.exe,12300638,227625,58546987,7839705,58490236,7843199,105888,850128,576748678,26960,12470685,123,9434,210370957,134,4.02,3.34,172711600,171366000,1002000,193423580
7079101.exe,12654723,247210,57574030,7478856,57667221,7551106,101077,798672,547596169,22449,12332201,263,9033,203285592,134,3.8,3.15,164381387,163158000,1000000,184308774
7283440.exe,12449410,215985,46772861,6407225,47035102,6412353,108872,853500,557241640,27269,12315552,0,7745,159904055,134,3.84,3.17,167782559,166477000,1002000,189532694
7584647.exe,12824307,251728,58606805,7338739,58672928,7360168,98522,772871,545725709,22345,12270201,58,8400,213922348,131,3.79,3.14,163402419,162033000,1000000,184415525
8028684.exe,8940346,83308,5359695,86963,5344480,91149,30063,197528,52703195,8433,9229975,28,1000,48324712,133,0.38,0.31,17849780,15728000,1850000,38405598
8516128.exe,11890249,64672,5444611,107830,5458881,106508,30377,207312,54964345,13083,12176368,44,2693,40287850,132,0.37,0.3,19045928,16685000,2085000,40022371
