file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1947067.exe,83536310,1286568,54640625,495301,53438983,505360,111435,1073898,141120970,28744,80977118,21669,6030,264812386,357,0.95,0.77,47965422,43286000,4026000,93607806
2417935.exe,315739868,3533244,199680614,1107809,197130835,1114812,685341,3482129,524842643,850752,304723488,849,17704,933308318,2471,3.62,2.98,157799861,149542000,7922000,178479331
3179338.exe,338447721,4708809,214940181,1899764,211755663,1965523,1212485,5474669,656966792,1000603,327419737,7431,74773,1015490853,4602,4.21,3.54,166644048,155352000,11025000,187163205
3216981.exe,316426761,3227317,197996612,1216987,195704413,1223020,571030,3517306,515916006,878067,307508093,115844,103428,935941392,1870,3.58,2.97,155791405,146535000,9033000,176742247
3645649.exe,109355419,3581169,75207794,794502,74025082,790198,824838,3181717,286627963,930732,111641189,195,47549,385154183,2564,1.92,1.56,87639592,75295000,12047000,110346933
367808.exe,127121664,3418376,84618447,752939,82332597,718816,744708,3117687,294000013,951557,122079681,196,21312,420998421,2428,1.99,1.63,90377921,80121000,10015000,111913228
4948840.exe,110508619,3668064,76684910,940105,73918585,922063,804956,3220392,274783685,926582,108554547,32419,123442,378048715,2409,1.92,1.57,85154365,80800000,3990000,106898503
5252064.exe,106064428,3558223,74807449,753918,75735107,658449,469359,2858041,248941473,878240,106037685,199,16577,358407623,1889,1.73,1.42,75953817,68453000,7046000,97353407
5372036.exe,116899556,4029155,85218279,720747,83594602,788442,1025372,3869867,304543679,1032518,116460225,24625,65228,417923852,7126,2.11,1.75,89693835,76312000,13053000,110433290
5752353.exe,320754057,3667301,199148331,1160683,194866126,1253681,741541,4591214,547393405,1009911,317908553,4790,52400,965873910,2048,3.87,3.23,159437300,155194000,4005000,179724227
6225030.exe,320178847,3455429,198083737,1128444,195349458,1091885,642959,3763515,526153138,933246,309853821,262,17036,949185471,2048,3.68,3.04,158229375,151944000,5958000,179817248
6558725.exe,102958926,3649602,75269931,752096,75863713,701948,529149,2941715,246882130,809885,106760097,271,14921,360358010,1991,1.69,1.38,76616734,69333000,6933000,97925051
6564607.exe,107500091,3176247,75688834,708891,74822173,726453,550746,2802663,249503043,775533,103942020,14145,71206,370698658,1961,1.74,1.45,72808855,67497000,5037000,93431191
6908878.exe,116210992,3524786,79248329,793177,77277997,785138,769256,3083816,288071638,929469,115110159,219,18117,405055225,2405,1.97,1.61,88642830,85251000,3008000,109569728
725590.exe,318834552,3428825,196887287,1126498,193963977,1164578,692891,3645559,534511338,887345,317470387,197,35695,955390247,2132,3.82,3.19,156926044,151579000,5019000,178280711
7326110.exe,140884270,10110860,99660199,2107379,98355877,2171299,1089246,6205526,467314024,1476443,143455918,40274,25803,497103556,3515,3.18,2.6,141221107,131816000,8987000,162280292
7442336.exe,107429796,3669529,75198309,754532,75511749,751932,811130,3081409,289191099,920151,111916002,24,43260,377852664,2606,2.01,1.66,84981452,74559000,10075000,105855028
7533897.exe,323634989,3061794,200205360,1162100,196910157,1132845,660420,3463889,542811840,912373,308857626,1695,21243,960031644,2554,3.87,3.23,158952159,149643000,8978000,180427341
7878917.exe,291300578,1011632,178253992,754166,175724897,744661,114026,1222632,404545749,145283,284470477,135,23632,838439245,338,2.89,2.41,118433660,115142000,3003000,139581381
7900572.exe,317693591,3626528,197772421,1111433,196190713,1090023,640490,3678796,517528931,863176,306345470,239,15495,939949970,2047,3.64,3.01,155501112,151148000,4003000,177062273
