file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1017851.exe,2146307079,14444547,940353790,7077888,941150686,7077625,647645,6122717,4599642085,158647,2148421439,844,63055,6408882114,172,32.19,26.9,1355123064,1351453000,2998000,1409819923
1222596.exe,770434676,12912880,255822890,6160710,258066777,6125788,191736,1668009,1203819984,47471,772462058,37,16165,2083067649,168,8.73,7.31,358093652,356820000,999000,378740841
1333078.exe,646894102,12793904,238776142,6319071,239513503,6282539,193735,1812938,1225289341,51704,651108704,258,17101,1863429385,205,8.91,7.46,363520943,363293000,0,384100018
1497005.exe,6495565603,26669266,2903120888,16471096,2904842240,16487777,4605759,21670970,14249609828,1674810,6497326393,35865,662726,19479816549,17315,97.71,81.7,4045108706,4042432000,1999000,4065509367
1682543.exe,1254828837,13205788,501901975,6449949,503223647,6439988,344441,3103733,2265548048,88058,1255043596,448,30383,3947736601,222,16.05,13.42,666593732,664207000,1997000,686979824
1738528.exe,4655924504,26668634,2290077478,8354141,2290463602,8324218,1246469,12850887,8981876843,310101,4661218898,6738,127327,14586939132,226,66.47,55.87,2644001624,2642405000,999000,2664430758
1753870.exe,517964244,22778388,148597186,10317954,148528636,10290562,194714,2692238,1206981415,232150,522287909,578,17760,1730440284,184,8.64,7.22,356858113,355553000,1001000,377378038
1769129.exe,4647732338,26785285,2285243304,8657346,2285711685,8658420,1219610,12637949,8796006170,330765,4646503756,37368,315398,14486401341,212,65.12,54.76,2579888978,2577341000,2000000,2601888731
1818972.exe,524205956,7951558,131218587,5956980,132228801,5913651,150570,1213272,853299777,42724,526605827,318,11591,1362977884,189,6.19,5.18,252813416,251544000,1002000,272984303
1943931.exe,637894960,12805881,236380580,6256535,237362938,6250975,197764,1775133,1197270507,48134,639575637,153,15304,1833749030,212,8.59,7.19,352026360,348724000,2989000,372538048
1968707.exe,1026152581,23798392,444773885,11152482,444606362,11164478,331266,5303676,2164149252,129563,1027437368,912,31156,3155729500,223,15.44,12.92,638095601,635714000,2002000,658875538
2174475.exe,441666902,6485929,166640764,5979107,168174215,5959505,177892,1414729,987018423,40150,444929072,248,13782,1279988390,184,6.92,5.76,292645009,291315000,1001000,312427001
2399424.exe,729230939,12732213,239238654,6156456,240754116,6146677,219932,1892974,1296803094,56764,729984711,534,19538,2238204413,212,9.37,7.85,382980737,381702000,999000,403166224
2414239.exe,469947397,12729646,137887603,6110014,140157852,6053036,159831,1405167,899183901,42648,474288744,262,12940,1319149210,209,6.46,5.4,268275975,266026000,2000000,289322117
2467389.exe,676287843,13007711,235902415,6279904,237666174,6258186,202738,1814932,1268081730,47704,677871367,297,18130,1867014290,210,9.08,7.6,374744411,374578000,0,394712558
2520984.exe,2149749551,14739656,942059238,7056415,943373899,7049177,678555,6146719,4664336550,160821,2152577671,1092,65899,6426867983,225,33.05,27.64,1369776780,1368953000,0,1389505288
2539436.exe,1629769376,8089006,609462581,6577079,611223532,6573345,404819,3523784,2798096921,135603,1632958555,3622,38050,4656317084,156,20.52,17.21,822985268,822617000,0,843616817
2619764.exe,725765024,7982972,256652958,6182139,258256009,6153557,191960,1568841,1162906461,49603,726607872,308,16876,2083707860,191,8.56,7.16,346784344,346597000,0,367137008
2636614.exe,3083832182,58080603,1580482538,36706904,1581154742,36698656,1079134,40465655,7681506012,7569979,3085938288,1952,102518,9286939330,259,53.98,45.04,2253659711,2250850000,1999000,2273603276
2664872.exe,1109448490,13515064,532073771,6544425,533096897,6531104,384031,3430827,2488602013,91428,1110269869,836,34080,3130538932,222,17.44,14.53,733641110,731401000,2001000,754914300
