file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1285040.exe,1517687290,939567,309466270,1641058,309495955,1642570,433450,2786111,2117317733,165245,1519386123,66,61975,4058564298,4038,14.79,12.32,622198019,618667000,3003000,669772402
1369343.exe,6162349934,4557480,2139184814,5155479,2137757806,5069587,1647538,13564762,9853970419,567177,6164354418,29573,221122,19706810409,4251,70.66,59.22,2862778156,2854195000,7994000,2884545998
1591395.exe,1821614254,842875,208061780,1730665,208865311,1735574,426217,3121215,2354903986,136919,1818258042,355,32628,4561598262,1109,16.83,14.06,693321954,690036000,3000000,713673483
1782229.exe,1316083925,816204,208372580,1590780,207975297,1588111,358358,2509124,1978897534,126186,1317089138,293,43010,4351907531,2085,13.95,11.63,582670556,577298000,5002000,603567185
181251.exe,3028860477,1445058,813282254,2331270,812410836,2314341,701772,5604256,4373982649,213153,3024722001,683,61820,9275869378,1194,31.61,26.46,1287028132,1283476000,3001000,1307755755
2042950.exe,3935577329,2209814,1219061604,2747871,1219317823,2759787,993558,7342763,5651944889,288258,3925231222,1154,90390,11785793080,2227,40.83,34.28,1656802986,1652515000,4001000,1677367265
2045625.exe,4542523130,2394730,1418552761,2868373,1418671680,2874194,1131584,8237954,6406124238,323292,4540603921,845,101149,13312197492,4041,47.0,39.45,1880599748,1871087000,9000000,1900776472
2048339.exe,4546009240,3169847,1424274008,3842945,1424622847,3856872,1547440,12343399,10153497374,419202,4544774992,1247,141753,13939225702,2085,74.04,62.05,2985752648,2981012000,4000000,3006324523
2075294.exe,1523787296,1599820,211747217,2152818,212127828,2160478,709449,5168685,3886405072,243439,1521697197,483,67308,5677229950,2085,26.26,21.69,1141070609,1133676000,6998000,1162088223
2110646.exe,3231993772,1830886,1015455752,2544031,1016101514,2568243,848339,6627730,5035472197,303558,3225566643,889,74631,9880983335,2088,36.7,30.76,1474572432,1469884000,3999000,1495706927
2117851.exe,2725198149,1426845,1011696225,3054088,1011606889,3052495,733381,5509167,4322980797,218442,2719340597,700,68707,8282624723,1542,31.34,26.24,1267226332,1261690000,4998000,1287117746
2266288.exe,1621693839,1670816,211834524,2194513,213079056,2206658,770410,5538691,4096292550,250722,1619697844,606,64528,2563771347,2081,30.79,25.95,1203252433,1196833000,5999000,1224593090
2275011.exe,1667658475,1398080,312032240,37684347,311503697,37689820,593057,4253923,3269980798,208888,1668208363,469,76692,4805268558,4034,24.18,20.32,960488237,953051000,7000000,980937589
232022.exe,4733054946,2184631,1416357837,2990090,1415961002,3003526,1067279,8598924,6998635016,360234,4732041111,860,96491,14197535896,1106,51.13,42.86,2050970296,2045365000,4998000,2072150679
2358242.exe,8842352034,5830834,3968843354,7141899,3969061602,7136416,2648237,21468631,18172470511,705356,8842762867,2390,308015,29731044311,3158,130.6,109.08,5324741572,5316669000,6999000,5344878704
2361679.exe,1317463217,845906,208792473,1648826,208756833,1648176,378465,2717324,1994793781,118793,1317195932,292,42974,4353631841,2079,14.27,11.9,588709254,586195000,2000000,608598339
2383883.exe,2324814469,1278795,210080887,1871607,211324560,1885143,589917,3815019,2911827430,213715,2315028054,459,50638,5465650152,2082,20.88,17.43,856364168,849953000,5999000,876785117
2434254.exe,1722478892,1544649,412441203,2326042,412192129,2319988,697534,5669561,4439501697,182592,1720797140,616,62995,8272691574,1109,31.11,25.84,1307724097,1306277000,1000000,1328660998
2468821.exe,2617873980,1707687,612956871,2248422,614532929,2235156,702326,5283055,4093544996,241970,2620453610,691,88751,8354048921,4038,29.75,24.9,1200749415,1193287000,7001000,1221350664
2468926.exe,1622911629,973843,209457871,1834908,210251115,1839383,482804,3617583,2636214307,144208,1621549905,364,33864,4669397134,1102,18.55,15.45,771290831,766966000,3994000,794583283
2560483.exe,1523206202,1225262,209852456,1786017,210933316,1788649,561889,3632262,2575578215,187435,1519457842,487,51729,4468426761,2080,18.13,15.08,754753157,748314000,6002000,775114940
2578381.exe,4534686282,2251457,1417088427,2900903,1417017477,2889000,1008738,8149126,6426899379,318371,4526770334,904,99922,13293209696,2092,46.76,39.27,1885899081,1881612000,4001000,1906266352
2590789.exe,311405579,466232,208285139,1331828,207363090,1328343,232312,1448327,960580132,77281,313577308,228,17475,2155754152,1108,6.57,5.42,285085781,281833000,2987000,306475756
2597067.exe,3258802850,4923008,1337633880,3674438,1337952627,3677939,1882341,8285335,5692555479,912342,3263473480,643,170586,9912506441,17709,41.31,34.54,1666655382,1631316000,35006000,1687437747
2677392.exe,1620019349,963681,210093191,1699286,210223013,1705991,458835,3010938,2251017481,170627,1621091930,95,62685,5362999931,4035,16.37,13.71,659212694,653876000,4999000,679556419
2679630.exe,9944191793,5143809,3866296205,6293459,3865736634,6281676,2465321,18647635,15863116717,612325,9946135968,1020,222060,30019834899,4041,116.92,97.98,4666725826,4659926000,5999000,4687982701
2792238.exe,3558292070,2622066,1125104764,3165123,1125187452,3163802,1242669,8254175,6693187296,349777,3557116606,560,129652,13570377345,4613,47.68,39.87,1963523948,1957102000,6000000,1983855074
2900204.exe,4874537927,2362687,1934267032,3194234,1933402804,3183640,1168632,9408911,7684336766,306614,4870013917,760,101120,14909525294,1109,56.9,47.73,2254948171,2251504000,3000000,2275786557
