file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1135633.exe,173047667,2496048,125139237,1323695,127426199,1202652,564452,2160591,352421810,610897,174105259,90415,17975,580443889,2240,2.38,1.94,109823857,105234000,4047000,156293061
1247568.exe,527547378,2240371,326850614,1777985,326257668,1775409,535216,2735829,801026254,377936,529212837,262441,29146,1578821220,1821,5.56,4.61,239601981,230323000,8973000,260673120
1265407.exe,172298181,2030666,115930908,1082417,112783728,1063872,614921,2251458,319987896,529706,163743300,83,96785,587868052,2242,2.16,1.75,103618468,96278000,7020000,125990217
1290299.exe,189163375,2020628,131112789,1159248,124722435,1252589,592219,2284491,347929202,688314,173775923,161,18500,629669702,2240,2.41,1.99,104578122,99163000,5008000,126005499
1291495.exe,42942663,2119490,35390422,804640,34304812,791033,414374,1693735,179166533,335470,38373684,17,16604,205694764,1869,1.24,1.01,56963228,53607000,3034000,78674678
1316604.exe,163618966,2461113,111459412,951539,111978312,947744,606915,2019444,324842718,408242,172431782,7,15622,569875275,2438,2.24,1.84,99076555,90810000,7983000,119769586
1376560.exe,165975418,2347489,112337983,1323849,111598518,1317695,610440,2089016,326653310,403495,172442614,277,17539,577210110,2287,2.26,1.86,99658180,94337000,5017000,120835789
1407254.exe,163185434,2247141,114497772,1006431,116657939,1017011,553629,2023420,325625355,592442,163383188,132,16840,558281263,2244,2.25,1.87,94734000,85441000,9046000,115144455
1442933.exe,164306691,2290613,114521202,945345,114981785,944005,512299,1975112,325517521,556783,161436304,217,21983,563816727,2436,2.24,1.86,94990403,84754000,9971000,116277340
1477356.exe,175009847,2130125,116922519,1206741,113231262,1191004,624517,2315109,334948136,528120,166584822,130398,17338,603717052,2243,2.34,1.92,102820561,94579000,8049000,123850481
1510302.exe,165666990,2413548,113359327,946647,112135545,943705,619314,2024504,325361926,386146,170270294,162,14904,570267265,2337,2.25,1.86,98906144,92602000,6039000,119986221
1545872.exe,164182472,2358896,114342914,947072,112591713,943771,585527,1984515,323138929,399598,168548850,247,15562,568807920,2239,2.22,1.83,98705051,94362000,4015000,119938511
1655898.exe,164858086,2455466,113435887,955970,111302459,954586,617001,2033099,322105901,388652,169692516,209,14992,570332306,2437,2.22,1.82,98964594,93630000,4980000,120081999
1832846.exe,167364768,1773840,116121879,873550,113801249,982589,451537,2053113,299431697,449241,161612146,199,15309,573931040,1826,2.08,1.71,90852954,87532000,2984000,111818806
1867433.exe,189539682,2039619,126815828,994203,123736307,1002544,598223,2214245,347656994,596331,182074104,58,17078,618459987,2265,2.41,1.98,106008506,97655000,7891000,126790304
2004531.exe,532561508,2299837,328900272,1656033,326317469,1634107,721857,3030475,816753215,541440,526972025,471,24790,1599957340,2238,5.75,4.8,243903583,238594000,5012000,264112641
2059675.exe,600306754,10432829,387005359,3303732,383319512,3260672,1803523,4686004,1157645855,1848059,599696996,23811,404351,1833023248,5096,8.0,6.63,339096097,330716000,8017000,360587987
2126568.exe,167953628,2449668,111595677,778773,109972704,780559,680894,2150709,330076947,389390,175281245,50,15232,584980422,2437,2.27,1.86,101149996,90706000,9967000,121898555
2147790.exe,166263165,2279315,112986906,1144160,112008087,1131402,646693,2129026,327978628,419609,173611137,222,14713,579361912,2241,2.29,1.88,99742670,90306000,9030000,121685064
2267323.exe,535974354,2336550,329010039,1685870,324698154,1685679,743397,3006691,826667877,523663,530464098,536,24057,1614427655,2238,5.88,4.9,241944727,233491000,8016000,263646239
