file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1536382.exe,299317244,7380740,182244142,4072463,184351257,4118377,1586351,5540475,641470825,712561,306176887,203,62362,1059480018,6776,4.63,3.86,189924679,175266000,13941000,236113947
1605758.exe,312613156,5667793,184410369,5625387,188423256,5508681,1139454,4299097,672953747,608153,318293845,3,46788,1079733492,6775,4.66,3.87,196817083,183487000,12963000,218026693
1627487.exe,853550962,10094714,387817755,9429821,387745993,9427546,1810955,8158446,1525686206,1191657,855649869,7,239104,2853593978,6780,10.77,8.98,449253606,434886000,13996000,468681399
1734547.exe,886921161,15230086,480424174,6583792,480287802,6599485,1263731,9924825,1628376621,2579280,888456482,18121,528994,2614498437,4035,11.71,9.77,483297427,451847000,30989000,503371691
2002873.exe,887206305,15297565,481151663,6553240,480607279,6546827,1252661,9931098,1622834864,2670445,887005202,6689,492865,2613088341,4037,11.66,9.73,479270823,447734000,31050000,500842603
2049538.exe,371583677,5743983,191095189,4141858,194538198,4158016,1038169,4370425,709376171,655575,370261694,0,476781,1157253991,5213,5.07,4.21,212417760,201018000,10946000,232874600
2134592.exe,241548243,7258378,154394703,3388816,151527993,3382084,756183,4920540,503133506,633311,246784118,94,15735,848255367,2575,3.55,2.94,151329797,143931000,6996000,171920513
2365914.exe,215313433,4771311,199461759,3925732,198614223,3886117,644113,3510200,520542413,459776,210656446,44,28808,990403679,2374,3.65,3.02,157177197,148923000,7995000,177780474
2505532.exe,733173853,5315362,447418313,4783600,448136658,4786866,611225,4493938,1328919086,1422370,731620522,1329,346440,2282389949,2570,9.49,7.91,394248223,359832000,33984000,414576074
2527896.exe,267947984,7677274,188266467,6825739,185890697,6682335,1015288,5504593,673514312,663481,265695801,11671,23767,1047576624,4043,4.77,3.96,201144667,188615000,12039000,222316457
2640086.exe,252641142,4682546,164713014,3923154,163471265,3840679,652167,3695461,526542671,465927,248266715,192,49334,914928458,4775,3.68,3.04,158854619,150556000,7976000,179867809
3014683.exe,241590395,4634449,215369900,4735659,214018729,4700504,701846,3728441,591671824,502945,236053517,182,30146,1126503561,2375,4.12,3.42,176641381,171283000,5008000,197907308
3018918.exe,408753774,12945326,198979331,4170952,198275521,4162215,3203732,10673204,993215538,2154995,409771386,256,71560,1146934637,6777,6.88,5.66,295674334,280400000,14967000,317258607
