file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1044060.exe,307416867,32695765,162973436,2675157,161892428,2640014,665923,15617049,650963508,776957,305694382,65646,114451,1048865483,4780,4.71,3.92,199493228,181666000,17062000,248757360
1056877.exe,337706514,3237876,213892815,1723218,211854121,1747664,747030,3345479,573561753,780839,333326855,1724,26629,1031554208,2924,4.01,3.32,172085697,160788000,10985000,192877154
1110958.exe,105568266,2816587,76980629,728508,78316766,700190,437942,2460631,223023263,552548,104628171,97749,13113,362425947,1960,1.54,1.26,69998100,64678000,4975000,90737748
1313602.exe,107572894,2776105,78270614,511069,77264860,629555,440050,2501264,223742625,610519,104452684,145,14118,365975350,1953,1.57,1.29,68933156,64601000,4037000,89494854
1333327.exe,106686108,2764265,77892326,525559,76862484,657672,471383,2529727,220906895,615248,104452676,30130,12801,364427954,2005,1.53,1.25,68864983,64575000,4035000,89970799
1383313.exe,318134017,2663405,196852448,1202806,192872828,1225374,521755,3284062,492310800,661304,310525187,114,16378,955622359,1955,3.46,2.87,148474399,143111000,5003000,169386336
1524420.exe,313876525,3504392,197043683,1204339,197683316,1110071,806802,3318723,542644509,774335,315236848,14864,25604,945430713,2744,3.8,3.16,159776827,149576000,9905000,180939675
1557029.exe,318629829,2603067,197231053,1185870,193078546,1230667,538500,3155600,491667976,673154,306974626,85,16424,950856458,1883,3.49,2.9,147971792,139605000,8034000,168664283
1576250.exe,316601146,2873312,198824796,1238748,194994988,1377546,485931,2936332,501316516,600793,308594824,80,16418,948777194,1860,3.54,2.94,151230920,146838000,3995000,172151203
1878308.exe,112135538,2572744,76178683,741056,72921859,771857,444628,2596354,217527261,621099,106856281,98,12105,384928328,1857,1.53,1.27,63903410,62667000,1010000,85200100
1899156.exe,110020279,3328573,77401475,871592,75792460,818447,742418,2950172,257060585,756073,111879441,287,17907,381964415,2487,1.78,1.46,77829504,68512000,8936000,97983284
2080168.exe,311112309,3569329,196589956,1088890,197817120,1054486,747220,3321617,539531206,764313,313350285,1294,30854,936646179,2873,3.81,3.19,158224622,151834000,5993000,179132689
2083684.exe,320468819,2709403,199092935,1182349,194553733,1293504,587514,3136670,498850055,692964,305144653,42392,16546,946748533,2053,3.55,2.95,149573478,143268000,6011000,170475190
2126664.exe,117939128,4240798,88197171,1218359,88183886,1231744,1206059,3444540,342495417,787455,123422821,6146,76435,441396349,8207,2.35,1.92,104481154,86040000,18008000,124864265
2162489.exe,117159113,3421760,81603490,883078,79393760,864838,969751,3047341,291061127,727702,116711403,113,20867,416784237,3651,2.0,1.64,89307359,79879000,8986000,109490911
2237372.exe,312850299,2807899,193574688,1388547,192541792,1349672,573806,3111859,498813905,624820,318226238,44437,149203,942958464,1859,3.55,2.96,146652597,141304000,5010000,167675707
238280.exe,107050687,2848872,76139739,877033,76367618,717761,552333,2595415,235253367,580238,106886592,78037,13866,367426697,2059,1.64,1.34,72827713,68543000,4031000,92737464
2406283.exe,118709076,3744752,87522719,885492,87169286,795717,1155140,3630808,306680331,784668,116603175,99486,146404,430593992,9017,2.15,1.77,91729245,75315000,16067000,112193069
