file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1357465.exe,227739183,448487187,585909,109556,93625436,737933,872,92908222,768730,149617712,339279,72589041,371560,112135,<not supported>,87151,<not supported>,163625658,33332,75794215,5003,129,11780,70227000,1978000
1803796.exe,142232155,239566588,438125,146172,44057392,742324,2142,40615059,692693,65258159,1031424,29261428,381049,112036,<not supported>,163739,<not supported>,80458048,10491,31189161,4229,0,30950,37410000,6066000
2006045.exe,78529238,126487004,283686,71194,23740803,753789,623,24870839,575650,41391230,270969,21030775,166722,71953,<not supported>,38988,<not supported>,68159013,15908,24380024,3861,0,5872,21830000,992000
2358896.exe,36934715,42498631,442336,122917,12180618,318019,891,12384143,429608,15405008,325886,3690106,105987,30725,<not supported>,27760,<not supported>,16350420,20581,3599705,2661,149,12148,12226000,2037000
321299.exe,71502705,112137604,322041,71643,19345551,899167,874,20091249,727976,38532441,280761,19490086,187639,85482,<not supported>,40080,<not supported>,64577648,14083,24002938,3858,0,9377,21856000,2980000
3644759.exe,49921196,58818016,323816,82980,13589946,272384,453,13612167,393888,19563798,309465,6970955,121978,24764,<not supported>,5949,<not supported>,22841648,2082,7492110,852,98,3049,15242000,1016000
3648700.exe,198500350,379675007,502274,76704,75213298,636370,374,76406552,439761,137164849,283140,69152837,291321,87293,<not supported>,43575,<not supported>,158159971,17356,68046981,3368,7,4631,58525000,2975000
4162787.exe,213090975,358083892,705869,245943,79866171,550045,4321,82728560,418017,151387137,435220,75640850,328636,101275,<not supported>,121629,<not supported>,157206534,125804,64200620,22137,2,66399,59175000,4011000
4310645.exe,97435019,211703564,372967,78769,40487513,383838,609,40054769,489081,63206756,274958,26449087,241735,98064,<not supported>,51397,<not supported>,74488177,24561,37396906,4667,3,6303,21962000,5989000
4359088.exe,37517451,34265629,441381,100536,10674130,242732,894,10603243,384996,12740981,292278,4927637,132164,31257,<not supported>,29494,<not supported>,12460856,21452,5223056,3498,135,13035,10039000,3011000
4871001.exe,113243091,216663336,489078,115147,46121520,200404,1600,45652681,155558,76514432,564010,36060950,405038,94990,<not supported>,199916,<not supported>,75456241,24005,28221261,3580,56,6969,30699000,6139000
5166283.exe,103439357,166274374,707163,301353,30060794,616380,6001,28385453,703146,41316991,1678429,21950532,356539,164318,<not supported>,290242,<not supported>,51416869,159424,25085567,25495,78,29070,22067000,12036000
5724538.exe,68782123,123422782,259310,69178,19081811,607922,385,19123240,520812,39620071,263288,19233750,106260,66487,<not supported>,14485,<not supported>,64492370,7037,22546826,1166,0,1548,19565000,2934000
6063773.exe,65566978,140119346,281354,64812,25752825,321150,378,25826313,323514,33265075,334589,19645981,133972,33182,<not supported>,8511,<not supported>,40911929,4079,22863408,704,0,7154,21552000,0
6637031.exe,141925364,284935362,447922,114529,56310037,697427,2072,53889494,785332,79603460,606164,39349375,386149,109052,<not supported>,210424,<not supported>,82311451,59124,45215053,6562,305,16826,42351000,1008000
6996922.exe,98140087,217008853,364625,74790,39129609,528173,875,37769374,645547,62155125,320844,26232860,235909,89830,<not supported>,52504,<not supported>,78843958,27466,38676559,3849,0,4454,23668000,4930000
7607475.exe,211368457,410592796,455815,95766,78598008,724659,442,77662512,577212,141487811,368505,66426956,381174,94811,<not supported>,25897,<not supported>,163880514,12133,71668280,2134,0,4017,61907000,1974000
7632599.exe,85924838,146148859,541157,211757,23792777,722584,1373,28545120,695866,56118570,349023,25855733,129756,113914,<not supported>,16610,<not supported>,76915866,13106,27780641,18501,3,23119,21105000,6030000
7983452.exe,130094814,216827086,545135,190486,42026851,809198,3086,41800172,802828,62138726,803496,30659011,303010,106916,<not supported>,150681,<not supported>,69785288,83337,31813877,16604,465,31242,36144000,4016000
8307961.exe,81334266,146236506,292435,46710,28849213,716678,177,28856883,700290,44322657,198110,19105614,129270,80398,<not supported>,11830,<not supported>,64634380,7097,23007925,919,0,1794,24855000,0
