file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1943931.exe,58751313,143976760,260259,44325,23876268,102141,212,23184886,102107,51313553,3680389,3466975,84435,21874,<not supported>,8170,<not supported>,76635931,2292,213318,640,0,966,19453000,1945000
2520984.exe,57328241,133664781,287995,50933,22842941,106602,217,22183595,104949,48800994,3805451,3036239,72023,19577,<not supported>,7201,<not supported>,78111596,2252,213909,597,0,1303,17413000,2048000
2636614.exe,13290159,12201364,170974,27559,4047744,72008,256,4123204,72004,5286864,212133,2926095,70500,85597,<not supported>,1314,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,0,2630,4023000,1005000
2695910.exe,52366393,116843724,313793,58916,21855614,118012,194,21751540,106778,54963346,2724783,2403334,63825,17047,<not supported>,6577,<not supported>,77006437,1985,190800,566,29,3201,17884000,0
3048609.exe,16228786,13739540,287268,74017,4468621,99367,758,4464821,99310,6295681,277716,5939131,329758,103933,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,2093000,1046000
3457019.exe,52132799,121160663,290007,52329,19653693,117654,180,18694376,96554,51401919,1937803,2729433,64323,15088,<not supported>,6193,<not supported>,79365249,1954,178506,622,38,3109,14941000,1992000
363509.exe,70855941,180219567,278730,46388,24350193,101823,186,24255521,101847,55740856,2616982,42620172,69470,19224,<not supported>,7626,<not supported>,74194749,2283,44641988,584,0,918,20056000,0
3666543.exe,13660072,17374401,279392,45065,7356329,77202,187,9394852,61131,4777433,1786905,10510653,46582,20627,<not supported>,5433,<not supported>,1276152,18093,<not counted>,<not counted>,<not counted>,<not counted>,7600000,0
4046853.exe,57479586,113246216,321966,61359,20424257,121938,232,20740274,94493,55389170,4047368,2654150,53563,22043,<not supported>,6674,<not supported>,78084841,3146,203170,813,258,3860,16642000,0
5075663.exe,91770188,227997377,572484,52833,54815784,298386,211,56105933,298915,84811236,7778901,2148838,119220,554668,<not supported>,12873,<not supported>,94469791,3017,278092,754,0,1196,25338000,1013000
5104802.exe,50656103,141641655,310152,52618,20745694,116310,185,19957277,103305,52345750,2037761,2500427,62605,17569,<not supported>,6675,<not supported>,79192268,2003,174171,520,35,2628,15581000,1947000
5409465.exe,73226450,179893429,267013,41459,37223252,266669,160,36562804,268620,59581026,3498037,8512863,82132,29396,<not supported>,10106,<not supported>,79995441,2636,233817,657,0,1048,21841000,0
5878214.exe,952743632,1111078142,15290200,8101845,209686531,819090,117338,206970642,774005,257373033,20826678,194331939,3512492,16367190,<not supported>,7558986,<not supported>,269827837,2235908,182957676,664528,181,480885,98907000,179831000
5920970.exe,57032952,124400573,302740,55214,19330202,113085,172,20911692,90826,54062127,3987127,2523718,58959,20084,<not supported>,6182,<not supported>,78333993,1850,211255,875,58,3166,14104000,2014000
6123694.exe,8091376,7002462,171379,27363,4286939,45299,184,4888730,46162,7840339,97818,6128344,60390,44853,<not supported>,21414,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,3921000,980000
6227368.exe,61261787,140710481,331460,57222,23266598,122289,216,22638638,115824,52775197,3411323,7293058,79812,23807,<not supported>,7002,<not supported>,86195869,1899,241974,623,244,3522,15199000,2849000
786190.exe,64762869,156922378,265223,41705,26828898,103668,168,25639442,105204,54014906,3105958,9392327,76460,27541,<not supported>,11021,<not supported>,83092389,2456,231237,648,0,1049,20325000,1016000
787752.exe,5623887,4547926,113583,19232,2359647,39933,174,2358855,39874,3526539,89768,3637610,80110,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1823000,911000
8000029.exe,1056396875,2658125129,3296717,183766,619491114,390068,246,620441906,391622,777010071,13407241,375109853,988492,711443,<not supported>,1432573,<not supported>,786866767,42984,373639274,9621,454,15547,308941000,999000
8557275.exe,55693202,149395738,305997,52805,31084616,108718,211,31194390,108400,53857417,4149390,2063190,63251,19123,<not supported>,7014,<not supported>,77114864,2027,203296,551,0,2278,16816000,1978000
