file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1440839.exe,218963844,372745017,751929,199715,74430836,3418905,919,74468833,3426625,99635479,713681,47864098,330347,192517,<not supported>,106790,<not supported>,128072024,22825,52230767,2840,0,9613,57786000,5977000
1928955.exe,253633205,370484261,1283978,377258,84248506,2962246,3748,90391517,2749248,135613663,1440649,60818827,535386,493022,<not supported>,197083,<not supported>,123572912,125133,51975786,45687,140,26812,68331000,8785000
209081.exe,393452963,464516123,6132650,173780,110480097,6885512,2296,111388011,7086496,134658262,8125632,52253748,624894,5532581,<not supported>,263445,<not supported>,115178939,542510,44455552,171672,19,14220,113973000,4998000
2791527.exe,669721091,1299466111,1427833,184926,273076481,3868507,1204,274176845,3991963,428963356,1891046,225230932,887512,520382,<not supported>,157891,<not supported>,428881413,59798,228410519,13650,22,20425,197169000,2001000
3056990.exe,637445220,1267794963,1105015,196308,268011005,3483740,520,263332275,3919691,409357322,756512,213353592,652882,297009,<not supported>,75438,<not supported>,422938504,44535,226568852,7026,39,13275,184512000,4986000
3373624.exe,246205098,424746501,813838,267499,84348574,3523952,1695,82495941,3717421,99818429,1927858,52106850,272236,335821,<not supported>,38625,<not supported>,126316123,38646,55199766,5951,211,8509,65941000,5994000
3419202.exe,633609420,1271927118,1169582,158712,271609482,3432062,993,266953206,3855320,416422861,773084,214259724,802870,356206,<not supported>,151178,<not supported>,419770991,71938,225192202,17452,41,18278,187265000,2002000
3713341.exe,2108432276,1681838560,21000062,7913380,361666401,3748931,10647,362858600,3759468,562883865,25513363,302435867,3643296,16938121,<not supported>,1045910,<not supported>,536367810,7557001,284241326,517088,45554,93614,599741000,19991000
3985474.exe,630250951,530070591,7753787,1180768,123271439,3898258,3341,124485566,3934931,163494467,11274078,71301077,1201531,6743207,<not supported>,369123,<not supported>,166283411,2059058,69463987,90167,3828,108792,180425000,6014000
4111853.exe,664859771,1298012155,1231304,201136,269707816,3818572,722,270494165,3925339,424378009,1836745,222892789,702544,434660,<not supported>,73307,<not supported>,430089827,42054,227451976,8964,169,16322,194781000,2996000
4456241.exe,217343448,368887823,584931,180910,71875526,3555561,916,71691952,3585907,96877606,952275,47351403,240544,189572,<not supported>,30236,<not supported>,126894557,18612,50866694,3109,0,5542,59761000,3038000
4839731.exe,213261198,391935978,566186,125516,79308666,3391985,525,76394690,3396306,100120874,608604,42108352,256306,170155,<not supported>,29972,<not supported>,119943923,17441,49014589,2623,0,4789,64310000,2009000
4976437.exe,211682712,384826620,557586,101353,79393638,3322387,524,77187386,3321602,101339684,641588,42289585,337037,172301,<not supported>,55135,<not supported>,118636481,30683,49134184,4880,2,6119,63859000,1013000
5221218.exe,937020369,582695221,12305658,3224249,136872460,5726005,4822,139455644,5750552,184355819,16381452,80928551,1734558,10226160,<not supported>,499000,<not supported>,180321221,3775039,78345258,76815,1269,43718,265952000,8998000
6023868.exe,991670035,613598158,12354542,3558014,140473003,5811853,6383,142157309,5826855,186051297,16422378,80858663,2091883,9997299,<not supported>,643892,<not supported>,181262832,3967974,78765804,80998,1109,63857,280790000,13989000
6323073.exe,949828650,600064051,12369222,3252251,136072433,5599559,4822,135758535,5641770,180821470,16424833,79427651,1850968,10532185,<not supported>,498864,<not supported>,183899909,3831951,78907766,79408,3330,57992,267579000,12979000
733419.exe,708146576,1307743266,1833650,349585,284387649,4389960,6300,286933034,4622558,439208985,2390052,236595951,1179413,874125,<not supported>,653523,<not supported>,429966041,365506,237393183,122405,15,48001,197795000,11987000
8065224.exe,677319636,1254710445,1464970,255183,274296210,3557089,2329,276460980,3147023,440955084,1040793,238374633,940296,323210,<not supported>,157099,<not supported>,432677587,110328,227072466,25594,483,25246,194426000,5011000
8387568.exe,278575017,359728117,1200257,400928,85209333,3409834,3750,92215399,3010590,125339949,1826827,60876104,565521,304035,<not supported>,220139,<not supported>,135682376,78386,54372943,55421,180,28183,76982000,5998000
841011.exe,268222437,365492466,1194333,341935,89313542,3217747,3748,93772305,2781864,129351487,1544251,63192427,584798,459196,<not supported>,211868,<not supported>,128841041,118726,52395554,53517,5,28213,72332000,8036000
