file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1735981.exe,545807758,954080246,4086147,729440,200652376,1237715,2523,198541451,1125767,306888612,3872827,165349110,1176422,2467391,<not supported>,435450,<not supported>,311564199,963258,168732101,163112,30084,18814,154605000,9974000
2408959.exe,482566891,912309333,2807726,499890,187472621,957255,2010,185775563,948207,290343830,2925519,162144617,834977,1581476,<not supported>,263372,<not supported>,315228440,592362,168764435,138945,18,12947,136539000,7973000
3675256.exe,193308976,316960359,2136207,372119,64652282,573248,2043,66027179,571164,94353567,2279854,52061830,458715,1493566,<not supported>,242806,<not supported>,102178786,592146,50370759,151043,7194,61535,49726000,8118000
4166218.exe,228156002,356198075,2470847,469933,70886017,612419,2635,70422231,565425,96727419,2867118,49712684,570688,1952684,<not supported>,262672,<not supported>,103244570,806727,52299089,152937,119,12694,64481000,6045000
4381451.exe,356245756,386382813,3932277,995836,78353583,695273,3023,80437589,704868,117908305,4201989,63497925,838347,2660642,<not supported>,449808,<not supported>,125818409,1064299,64518650,184504,126084,66385,102474000,5023000
4540243.exe,492733025,923738456,2654564,350603,192008226,1187943,2581,189570616,1164531,296299054,3118668,160885168,904316,2036524,<not supported>,283292,<not supported>,307590996,680819,166764145,129701,86010,90054,146692000,3014000
4860832.exe,482711424,909646279,2763391,496087,187129488,968176,1999,185903628,949403,290855693,2963332,162574142,868958,1640454,<not supported>,269355,<not supported>,315400263,594864,168673785,138866,448,15411,140575000,4016000
5461201.exe,226308790,356237076,2896036,546747,68323208,595629,2460,68148663,566872,91965219,3215539,50593427,504994,2178721,<not supported>,262930,<not supported>,111419092,790668,55664746,189072,33,8861,60638000,5964000
5528880.exe,201417562,326817865,2417545,440520,67260376,498278,1918,67492331,484735,93659834,2578672,52577564,484706,1563812,<not supported>,251563,<not supported>,107318107,623986,52300621,158521,31,13921,57868000,4988000
5557634.exe,289531886,414465607,2647260,1036511,82902481,289409,4041,81320453,291145,106444288,3201820,57847811,717688,1702890,<not supported>,554921,<not supported>,117959396,783372,63122640,306040,16,18452,80228000,8022000
6164655.exe,248273353,370730221,2946181,573869,69588743,713883,2271,67007615,749615,90973086,3739585,49663777,547119,2793437,<not supported>,333362,<not supported>,108664024,954833,53485363,177047,33633,36427,67214000,8025000
6968005.exe,274644656,350208100,3253746,866952,75911442,635972,3098,78770943,595256,105668419,3427564,56029289,787404,2060070,<not supported>,526248,<not supported>,101888778,1070889,50784921,259622,265,16260,79488000,3974000
7117658.exe,234104870,355814944,2457259,542644,69728068,525645,2638,68989231,490318,93901851,2872353,49413102,560811,1900250,<not supported>,287536,<not supported>,106365143,737948,54320314,173213,225,11308,64221000,4013000
7240130.exe,491675659,929834426,2650636,456559,189622119,978979,2426,186542458,960281,289081088,3095633,158268349,897240,1912043,<not supported>,256338,<not supported>,314814936,592010,170820899,137522,12,13684,143279000,4007000
7244472.exe,226434325,345434604,2453659,540014,68874982,545703,2251,67880712,527456,93479296,2902512,50145001,553902,1798257,<not supported>,322855,<not supported>,108642469,715118,54410057,175861,19,11346,61139000,6013000
7380878.exe,517244240,907994256,3014128,560313,192992139,1032889,2425,193652570,1025286,305885473,2821126,167951510,990033,1867565,<not supported>,329971,<not supported>,302684863,936646,159386852,180159,214,18465,147559000,8030000
7534269.exe,1129863031,1099820070,9423880,3243424,240125575,6568406,6971,239248419,6363372,348660036,10828376,188396578,2539232,6139146,<not supported>,839329,<not supported>,363387286,3682719,192267161,350745,144396,85110,313208000,17011000
7568057.exe,230624166,394063364,2230520,437476,84403012,519907,1920,83665432,486274,88450822,2683262,56848794,571962,1873645,<not supported>,226456,<not supported>,95074203,634668,59139413,134575,8,9669,64132000,4008000
7632862.exe,109875299,180165835,941723,178965,33246095,229306,3017,31643576,216572,45822312,837299,31657594,331026,326788,<not supported>,231925,<not supported>,60567376,129069,33895875,8916,173,11361,30729000,3965000
7824960.exe,492498311,922295919,2596077,432730,188696411,1206890,2027,186776094,1197968,290402628,2961754,159046348,907557,1826561,<not supported>,272635,<not supported>,313129367,521934,169396950,126757,21155,186545,141138000,5004000
