file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
145020.exe,262272725,565332812,1294982,390536,106478549,256546,5183,99018920,251444,129256397,2729878,79483567,666170,679070,<not supported>,552326,<not supported>,157289508,119693,89833003,18945,120,19870,83221642,68629000,13924000,132064507
2209419.exe,350504254,626311021,1943482,654396,133668929,362269,8314,132435373,347068,183937671,3919755,106428410,817088,284807,<not supported>,770397,<not supported>,188926933,253528,101640235,46922,164,41417,104070690,83825000,19958000,125684631
2536350.exe,252953274,543577485,997862,275918,104882184,247126,3843,103885728,242512,150275754,1039080,86820735,583462,363222,<not supported>,255818,<not supported>,167863329,78572,90991914,14351,126,16033,73306383,63959000,8994000,92458520
2547962.exe,280102455,530350993,1950615,758426,100040272,262481,3887,98961072,271351,143380114,2485861,81098941,602804,2199338,<not supported>,210166,<not supported>,166177341,129234,82407933,13173,5,18239,82544028,72227000,10031000,103083333
3902259.exe,549244729,1084802535,1917140,522146,216445616,696846,4786,215941775,704757,339582497,2183858,195273562,1045893,310262,<not supported>,325686,<not supported>,369118582,83947,201894831,22952,7,20929,164003281,153503000,10032000,184713737
3969157.exe,683820184,1267735962,2526696,877211,256611615,1081746,8086,253594302,1112037,397668003,3351797,226615199,1491067,2034865,<not supported>,706621,<not supported>,385570547,302239,214313048,61574,388098,56152,201707669,187299000,14022000,222589118
4245198.exe,261122031,491808589,1428331,379569,98150664,234417,4399,102797240,232440,154233188,1043197,86064924,572721,515017,<not supported>,331431,<not supported>,153555321,154672,75710935,30983,224,26590,75017803,67488000,7050000,96054347
438014.exe,524828226,1088941285,1221417,297061,223459025,702102,3515,222700007,710348,344029982,1497948,192968493,981696,1187072,<not supported>,203975,<not supported>,347998931,124552,191156314,17596,180,20861,153976965,147579000,5982000,175393591
4757111.exe,237985107,529993052,659687,230748,103427529,214277,4007,103820050,217996,143856785,1455151,75331659,604790,962331,<not supported>,271027,<not supported>,133977707,136382,74522299,18908,233,18182,68539554,60245000,8032000,90569217
4873112.exe,309260868,474354779,2664796,881024,98469403,361546,5254,104291723,370170,155469708,2600987,86821119,655553,2704475,<not supported>,370379,<not supported>,157847475,178711,75883870,42865,44176,36335,92786251,77277000,15054000,113354634
5401467.exe,308756065,495593246,2885718,793654,103674478,260667,4933,104216600,260731,153914688,3076661,84647357,667850,2762564,<not supported>,651766,<not supported>,155103023,172299,72887792,34410,200,26802,92484950,87170000,5009000,113850168
5682441.exe,636823025,998856921,2525991,964586,174645183,368613,8836,170408900,376172,281310297,7142401,151877003,1136203,2223636,<not supported>,960068,<not supported>,320206525,237784,170451601,73893,593,66109,189062488,171667000,17066000,209803758
5949121.exe,248300869,532022258,1126171,389163,106521537,239661,4203,108184113,240201,157812912,1044668,90718652,592953,360051,<not supported>,203206,<not supported>,165175234,140585,88436952,20860,145,36289,74315244,64820000,9115000,95913804
6306969.exe,1075001528,1010419259,2726899,658639,196490360,1290324,5080,193764749,1294035,299883016,1620404,194945374,1391415,432029,<not supported>,381570,<not supported>,318913188,4556097,191190650,436634,263,1248612,318835500,196695000,121811000,340550515
6925989.exe,522301384,1074511417,1608113,422946,218642703,748055,3616,216445468,767786,337429595,923065,193025028,961053,267897,<not supported>,219000,<not supported>,359869318,133398,195532994,24140,75,27191,159553579,151211000,7958000,181238277
7241259.exe,265646482,483165669,1453638,471789,87908801,234839,4402,88779974,239480,134912446,1579020,82895061,579901,202105,<not supported>,205240,<not supported>,168115887,84333,87040935,23915,12,22198,79441620,70121000,9015000,101136673
7382941.exe,252865218,496761924,1256127,371070,96199051,250076,3625,97765307,239848,150172793,1085918,86123086,809303,195735,<not supported>,434815,<not supported>,167925541,81877,82910241,17983,130,25484,76417280,66054000,10008000,96855869
7511176.exe,246057487,486111504,1242819,370857,97220720,236848,3620,101642609,233056,151933268,863952,85274340,572816,319266,<not supported>,230332,<not supported>,155580518,95466,75964477,23391,137,25152,74729796,68404000,6035000,96308766
8157367.exe,270199181,524735381,1781510,472165,96216904,249806,5378,93802101,259345,127361262,2128219,84041457,615544,376433,<not supported>,423438,<not supported>,170430875,127760,91839034,20669,2,24922,82207378,71825000,9975000,104097815
8686515.exe,248389231,493328157,1240565,387024,99278097,243259,3622,102994214,253532,152175688,900498,86451392,617764,394800,<not supported>,208874,<not supported>,156982718,107617,77018042,22772,271,25813,74894995,61531000,13113000,95528937
