file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
1184356.exe,173118222,137238338,2067555,1472524,23900819,152240,24692,23637791,154264,35425030,2074573,40882445,433093,175230,<not supported>,1429051,<not supported>,45494190,411077,41302327,130541,25,170587,51767280,12770000,38311000,99291393
1247728.exe,542556053,658488100,2687745,1595392,69419851,312998,24560,67700872,310828,152083933,5687679,65704650,3333046,306060,<not supported>,1606009,<not supported>,152997021,545842,65902095,125549,55,159767,161090658,104872000,55932000,181768714
1464477.exe,290217243,542305810,2633142,1316474,82419954,206435,24610,77515549,220039,147274295,6924173,65181016,1322554,189638,<not supported>,3123616,<not supported>,159536780,608885,65273847,191720,0,102300,86219591,42412000,43422000,107500315
1637061.exe,479103471,470891971,4720953,1949306,97142604,842254,26020,99577429,870904,119977505,7161353,79386798,4577588,643631,<not supported>,3833037,<not supported>,135239150,685960,86764540,121377,33045,170127,94881567,36989000,56983000,116386274
1758935.exe,931078982,1260284705,7467778,3289946,172267118,450960,48985,171664173,458403,246850217,14024735,188297600,6577373,1187436,<not supported>,7807382,<not supported>,273419727,1213345,192819800,241674,55,255333,274778315,163233000,111158000,296244898
2070371.exe,337815964,357129370,3637688,2533827,56633827,273585,49060,53288617,277258,67771504,3977967,75599348,951289,140983,<not supported>,3529175,<not supported>,66443540,1056862,77510035,281487,51,166699,102070391,18958000,82819000,123791740
2075190.exe,363246488,305312823,4261850,2755320,55445821,264409,49152,58632802,265946,96039930,7378632,82403912,1721605,300601,<not supported>,3520330,<not supported>,85056453,1184124,77773735,340302,2,187865,108477341,33046000,75104000,128790418
2185872.exe,603450855,832479104,5882495,2892875,198377446,398565,48986,204797566,386488,237053946,11673387,108144252,6569562,287637,<not supported>,7308992,<not supported>,233655961,1221118,116722299,259528,29,211565,178321941,75992000,101990000,200142978
2954072.exe,294141350,588396503,2665173,1431947,124308163,209073,24609,111165131,223963,122340975,7085705,65636666,1193319,163490,<not supported>,2911698,<not supported>,154464550,393517,65158703,168649,0,97893,86061262,51790000,33863000,107238621
3408192.exe,251893682,499358370,2098265,1353620,102473439,186161,24581,98570458,184103,105228973,4683694,79613448,645705,208929,<not supported>,1825694,<not supported>,112351016,560872,84269004,143396,36,117005,73743988,37211000,36205000,95812082
4853971.exe,383360664,396457151,4706780,1623889,86292293,241864,24556,92308200,243304,106112408,7710002,79659413,3234782,270274,<not supported>,5645785,<not supported>,107580765,645979,75986574,158463,37,125154,110832068,58699000,51734000,131912202
4886910.exe,546550499,1109355782,2672640,1451086,129910125,296886,24611,127801375,300889,309778321,8122105,114931374,1448627,360807,<not supported>,2169547,<not supported>,322623298,545024,115277105,147892,15,93263,160579905,111211000,49093000,182135832
5939101.exe,602084166,631597747,6904648,3079291,124523498,389418,48983,125517771,373284,153631865,11637860,111032844,6269604,507033,<not supported>,7828697,<not supported>,163099864,1131348,117019418,230312,193,223498,177048309,66887000,109815000,197868638
6244325.exe,542040826,734225577,6651948,2932804,159256618,349779,49034,163617363,320265,191464272,15339571,102177165,1901385,459018,<not supported>,7495719,<not supported>,182857891,983988,109492479,356344,244,264076,158031170,69859000,87822000,180047671
6435330.exe,539247598,766821316,6219133,2912975,179412777,356770,49031,185805997,351562,220469513,15717937,100480351,1965957,345591,<not supported>,7451005,<not supported>,210752305,1059516,107132036,356047,0,305579,159777385,63159000,96243000,181360574
6684177.exe,363691176,302622613,4432663,2884330,54691713,274509,49167,57135644,272999,93614523,7545703,82049068,1836670,423233,<not supported>,3455284,<not supported>,87068783,948658,78357951,337734,34,266628,110519641,37043000,73085000,131514412
7041402.exe,279123666,498381130,2856944,1322136,78300754,217121,24608,72066988,218115,107799162,7478932,63653724,1360695,146153,<not supported>,3658355,<not supported>,119818466,519432,67197899,203360,188,92698,83292796,40423000,42444000,104113804
7490618.exe,69180534,209436039,274179,41781,45180157,102505,144,45037249,103675,45199681,3170996,36080824,70665,17466,<not supported>,7576,<not supported>,58341086,2411,36595983,579,0,847,20397850,19094000,1004000,41626894
8016630.exe,329503155,666961373,2605731,1394942,151345399,235883,24607,148698619,237300,210544750,7990815,65387096,1300790,130304,<not supported>,2665233,<not supported>,225021096,481648,65503956,171828,0,88941,99169187,62549000,36319000,120521548
8619941.exe,940892975,1275847770,7646165,3412711,227267180,483552,48981,224705364,486279,245938775,14228723,186245566,6545182,1360681,<not supported>,8025463,<not supported>,265461484,1281529,192366666,312783,78,212885,276618443,168221000,108142000,297833970
