file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1374738.exe,222915527,397131496,703977,180517,85529384,2748964,523,85593131,3097445,110333224,676408,43791146,353161,186480,<not supported>,90397,<not supported>,102658760,21493,44108947,3589,61,8226,68911000,2026000
2951063.exe,220486320,404267878,556073,143015,76447308,3525219,917,74119183,3649089,97051317,1021667,40921465,285222,187537,<not supported>,33456,<not supported>,120357999,17401,50118518,3205,2,5779,63391000,3018000
2961600.exe,219555734,369112636,617649,169032,83734875,3252425,916,80977533,3268029,106142206,944402,43506690,255077,203519,<not supported>,33267,<not supported>,112308978,38527,45563568,9453,0,11821,62160000,4010000
3122929.exe,623625868,1222270412,1162761,162604,258735847,4482152,1002,258847735,4101888,417837564,811168,229098839,822493,345809,<not supported>,163287,<not supported>,436463690,71390,228171716,14782,35,17332,175674000,6023000
3698143.exe,217596399,404424720,523345,125209,76463883,3547685,528,73776304,3613483,96277069,639085,41390565,275045,176240,<not supported>,30672,<not supported>,121920150,16165,50497167,2633,0,5719,64045000,2001000
4488347.exe,225136189,401751328,671650,121823,81607223,3290900,1009,79347303,3495301,103541262,675957,42273877,387479,213001,<not supported>,87508,<not supported>,114079479,48403,50975209,12281,223,11609,60602000,6954000
4622641.exe,648960888,1259969296,1339044,254020,267790031,3213749,1904,267476233,3258668,425376799,1076754,222247177,878446,339270,<not supported>,180367,<not supported>,413111785,82947,219155250,17827,533,28166,184531000,6982000
533881.exe,620546951,1245094891,1038246,180284,260715036,4155272,518,258270846,4150724,404448121,803918,216214159,660200,292467,<not supported>,73509,<not supported>,435677561,39039,227847997,6421,56,13949,183410000,2004000
552105.exe,213657183,387794546,541739,125930,76591894,3590126,522,74074669,3690687,95696887,651480,42622316,262840,182268,<not supported>,30271,<not supported>,124297218,17484,51092022,2548,0,5254,65302000,989000
5722253.exe,802892966,653846189,7400795,2195467,144927634,7315150,5017,144175046,7279341,192889833,10071542,82167742,1548450,6095909,<not supported>,457770,<not supported>,200271942,3037040,79098126,73910,8478,55613,226121000,10005000
5840366.exe,640174530,1254112198,1103045,186984,266763348,3408772,907,265062145,3799081,413021491,1138131,213760556,881044,338105,<not supported>,126598,<not supported>,415729359,68331,222238110,12194,173,16410,185681000,3011000
5842855.exe,650223106,1251937841,1380468,248606,266568335,3269136,1905,267009977,3235694,426787653,1034883,223868920,897176,342462,<not supported>,183337,<not supported>,413574082,87264,217840997,18106,560,27645,185992000,5999000
6024175.exe,211836549,351444180,555951,135864,73046633,3670173,523,73026245,3660651,97974510,608539,49305126,229776,175181,<not supported>,27883,<not supported>,126081591,17230,50307766,2554,154,5400,58080000,4005000
6028032.exe,639110997,1251054558,1278612,191826,264257407,3869999,1003,261966934,4233191,410212567,860545,216455432,831142,323389,<not supported>,127148,<not supported>,428181027,72925,228571962,15452,4663,20031,187927000,0
6073943.exe,680963183,1227881071,1146647,209081,254157386,5659055,908,254585006,5246713,410058942,1112413,225351672,1384548,305864,<not supported>,83279,<not supported>,439177956,42623,228963453,7671,468,835979,200006000,2000000
6487463.exe,636070756,1261106326,1047137,181731,266035036,3698827,910,260637467,4073342,404514990,1235435,212905626,865517,333973,<not supported>,80248,<not supported>,425820581,43931,227991911,7148,5,13669,184753000,2995000
6818440.exe,624111138,1254484300,1039043,183409,261320101,4202120,518,258538685,4172969,403800407,808460,214900906,652727,282601,<not supported>,72062,<not supported>,435393141,39029,228189943,6646,161,13040,182831000,2009000
6890460.exe,233680800,412018209,808368,249772,81046351,3208760,3087,79666448,3472080,105751064,1411590,46039761,508203,586379,<not supported>,150444,<not supported>,119778857,68591,53436793,22154,0,16051,61066000,8008000
772253.exe,477427097,492165920,5266505,999304,111515437,2061624,2672,109817473,2531291,151455834,7195364,59290350,855617,4192332,<not supported>,269912,<not supported>,145330430,1401414,56218941,59809,817,48974,137572000,4984000
8036296.exe,630138964,1257712590,1126121,167936,266641010,3830567,518,262057644,4191697,405131304,808538,212289264,827216,291752,<not supported>,101199,<not supported>,422583172,52591,227133064,8837,51,15141,184316000,4006000
