file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1061805.exe,795342645,970829677,2590262,640545,175068084,1786395,3647,175325071,1796436,310990576,3714249,245883849,1522842,987805,<not supported>,393080,<not supported>,314393818,300368,242456198,27446,6281,43899,225365000,14022000
1094941.exe,1146389174,1600309689,2546237,425815,296954858,2861766,2472,295903978,2880470,531310933,3239682,391193718,1711822,816358,<not supported>,298543,<not supported>,533855784,140723,392916236,22353,195,46539,337383000,4004000
1133411.exe,341120637,608408680,653821,133489,116402587,1278247,518,117108523,1093140,217605825,780289,129104072,342021,138221,<not supported>,41411,<not supported>,231234977,15705,132730957,3361,7,7143,100275000,2005000
1141022.exe,600573431,852615388,1734702,334544,153875232,1503742,2478,153271556,1479527,273629830,2541165,209532776,955221,657645,<not supported>,240371,<not supported>,274074469,120308,208750384,17018,115796,43107,174516000,3008000
1165956.exe,758255893,1127034796,1985509,407380,212893848,1772164,2471,214686501,1804211,378694464,2638902,268692300,1314254,572044,<not supported>,261299,<not supported>,385438609,130103,269956779,21026,1153,42053,215235000,8008000
1344769.exe,768451504,1141222307,1945822,375631,213299971,1716268,2473,212650903,1744095,372412808,2852217,265783192,1361605,647751,<not supported>,268738,<not supported>,386113288,117018,270989225,21346,1467,42295,224342000,5007000
1370229.exe,714076523,953085483,1970235,462954,170632335,1681938,3258,169934265,1650438,299294003,3193687,235172057,1278199,643691,<not supported>,307384,<not supported>,308617887,224198,238340059,24893,2560,43934,204040000,8001000
1435015.exe,248484184,402147117,561429,75400,94272410,982498,588,94818538,1002967,121966870,418029,85737726,294180,127215,<not supported>,55557,<not supported>,132503778,26028,84820372,6388,85,10102,69352000,2972000
1769104.exe,735308423,1129725980,1903359,360152,215489417,1735210,2542,215266751,1724827,378226356,2659577,270341970,1282822,678661,<not supported>,256238,<not supported>,381260324,129171,267431358,20254,1763,40830,212394000,7013000
1979579.exe,757715679,1125447790,1997873,436021,213682215,1808154,2473,215329609,1818614,378685320,2805121,268590981,1277672,583882,<not supported>,258299,<not supported>,385236173,132364,269394352,21829,631,42620,219895000,3012000
1997948.exe,336784677,605220086,690094,137665,116305997,1249469,518,117562259,1078175,219039109,788845,130448461,374822,154237,<not supported>,44170,<not supported>,230835842,19713,132849479,3830,232,6898,98896000,2996000
2059363.exe,335274486,580900412,685810,130896,92587750,917462,524,93755765,848494,194665155,719191,144277274,320922,149903,<not supported>,38881,<not supported>,204067250,14130,140869558,3428,22,6337,99056000,1000000
2061586.exe,763531417,1135457951,1971121,432960,213014842,1742641,2862,213065004,1760011,373336624,2966273,268049031,1445693,633541,<not supported>,275889,<not supported>,387322014,109406,273058408,21698,499,39686,218732000,7990000
2203032.exe,589946901,839657286,1705190,377848,150588659,1423826,2672,151396933,1407314,269499665,2620208,207836790,950853,695456,<not supported>,238028,<not supported>,272891332,109726,208246037,22877,1585,43191,168565000,7979000
2203602.exe,732434126,1129047019,1880238,353531,216150537,1736131,2472,215833351,1712868,379657013,2652015,270865989,1270780,681079,<not supported>,253841,<not supported>,379645854,140503,266624718,23015,1839,41413,215391000,3988000
2207605.exe,611487769,834084060,1787488,400413,151599231,1523153,2867,151334048,1495060,270500608,2515817,209955874,961378,650862,<not supported>,254820,<not supported>,273351621,127688,207060306,19813,1554,42097,174007000,5000000
2213898.exe,486743615,882802713,825177,128023,159813361,1349225,326,159768794,1243005,305850251,524259,205686530,503219,176304,<not supported>,52636,<not supported>,317984073,19684,209633557,4448,22,9309,143181000,1001000
2231071.exe,738564450,1136892879,1926547,379575,216271929,1728679,2475,215694236,1710008,379650097,2648824,271043157,1350324,697685,<not supported>,261932,<not supported>,382524497,151599,268523101,21041,1313,42032,214832000,3996000
237541.exe,591480713,835844609,1741176,342892,151569613,1399842,2478,151704979,1386593,267380449,2376886,206965404,965314,652304,<not supported>,243658,<not supported>,272483601,103454,209179057,18826,764,41840,168100000,6003000
2407087.exe,756798874,1125699963,2031332,406756,213733027,1763757,2471,213915328,1797105,378028213,2643028,269454710,1356624,607360,<not supported>,263572,<not supported>,385272598,119615,270731283,19960,1457,41266,221469000,3990000
2481996.exe,478897495,880376083,860683,129723,159236190,1174297,322,160646702,1088565,308490086,561185,209471581,469188,177781,<not supported>,53814,<not supported>,316186075,21069,205718804,4526,30,8967,140627000,1004000
2745547.exe,759679131,1126497977,1969909,398988,212827798,1763095,2472,212848206,1781353,375148531,2687849,269726243,1364428,576701,<not supported>,270947,<not supported>,385991634,112345,272056610,19963,2809,40662,220921000,4998000
2774509.exe,483795505,881907493,854206,146441,157715590,1161103,518,158945669,1082753,305303059,793607,205389222,481210,185492,<not supported>,54756,<not supported>,312266603,19467,201541710,4507,25,9349,138596000,1994000
2832245.exe,480546953,869411509,780084,120504,157785324,1338776,324,158276620,1245016,303914963,509161,203097769,515445,198374,<not supported>,56390,<not supported>,314823223,22457,206911902,4520,54,9509,141779000,2995000
2847173.exe,583662940,834415425,1727555,331148,151705199,1420352,2478,151386180,1400458,266390619,2434473,206165318,976832,643129,<not supported>,247081,<not supported>,271889503,103879,208854668,19206,1308,40431,167760000,6990000
3184306.exe,471649183,869145528,828352,128028,157817916,1085840,324,159006104,1063649,303044338,517434,206929083,450944,168708,<not supported>,51149,<not supported>,309664052,20510,200172590,4404,50,8656,138311000,1002000
3187447.exe,604052755,821822087,1778985,368695,150970873,1553369,2478,151444754,1526981,269516794,2476387,209935122,993233,609077,<not supported>,244949,<not supported>,273445005,124819,206052975,18904,656,40293,178883000,2998000
3234095.exe,476480275,869496478,839754,129459,157796652,1122297,324,159311912,1045483,306234821,536548,207489829,483363,173339,<not supported>,53493,<not supported>,311020896,22282,200539364,4386,78,9005,140448000,0
3235338.exe,333446464,607893291,693128,118086,116764308,1045957,324,116463593,1056463,219945200,451509,130956586,321907,120809,<not supported>,36841,<not supported>,227082602,17242,128739789,3380,249,9728,95645000,996000
3270012.exe,334550046,603739070,662941,120461,116744082,1035484,322,116843852,1049009,219273229,459203,131086399,328076,145333,<not supported>,47536,<not supported>,227806442,17010,129631292,3185,12,8633,96651000,996000
3523845.exe,556458798,743888131,1631766,392160,126788409,1403047,2787,127510875,1415871,243280561,2261133,199413685,823600,493768,<not supported>,236611,<not supported>,252388415,105428,200726799,18147,1912,37490,156831000,7991000
3627289.exe,488614808,884258712,811990,126400,161258956,1296307,323,160874997,1164175,308065992,508285,204941699,487307,177806,<not supported>,55622,<not supported>,317003973,20314,208741219,4532,44,10874,143114000,2001000
375888.exe,604725883,831072226,1754466,341767,151659157,1531840,2475,151215861,1514200,269365519,2362492,209097140,1030873,648060,<not supported>,246849,<not supported>,270513493,125684,205651706,20324,2599,47693,175587000,4013000
3863251.exe,726750590,1151965308,1787095,392464,216108898,1631534,2666,216762570,1609209,377443147,2729058,265791279,894557,740951,<not supported>,242570,<not supported>,380779569,126821,268661778,21215,1486,44736,207896000,8034000
3901913.exe,610160830,871336283,1760214,359867,161568108,1467383,2474,162318171,1457823,270556309,2451948,219452719,1141273,569830,<not supported>,239773,<not supported>,274724379,132264,215946854,18476,2368,39085,173110000,9005000
3902315.exe,345795698,588218898,633698,111191,93763229,960621,524,94832293,881010,198310778,746220,143946732,357683,152441,<not supported>,41345,<not supported>,206148379,14095,143282468,3209,207,6980,99668000,2990000
3903900.exe,1160829849,1414681371,2476515,417588,254017974,3122668,2478,253625933,3104648,457513231,3769954,362996501,1706114,855533,<not supported>,302470,<not supported>,458292525,212513,359508760,23518,7903,45226,335130000,5001000
3903935.exe,349650107,586806096,673645,98765,98080888,1088419,589,98481900,970035,201543973,532678,147331994,464407,175599,<not supported>,66888,<not supported>,209371440,19479,150445206,7722,33,8499,100706000,2991000
3932932.exe,761542685,1127660227,2011455,400749,213237741,1732488,2472,213029807,1755708,374896568,2886558,269410810,1336717,583547,<not supported>,270310,<not supported>,384607380,110147,271575499,20983,1165,461853,223878000,2998000
4073051.exe,739045796,1135838919,1889451,359395,216163222,1711279,2473,215163098,1693354,377057977,2726767,268653907,1246600,681120,<not supported>,253086,<not supported>,379733867,135118,267564988,23359,1786,42099,210387000,9016000
4122402.exe,1273813795,1732157463,2643892,461781,316856975,3050143,2668,316228430,3040090,568469530,3832196,422392327,2025700,891198,<not supported>,321050,<not supported>,571954328,217465,423391758,25123,1968,49915,373700000,4007000
4237499.exe,606134478,823977943,1797647,370865,150744292,1523361,2477,151334470,1512195,269403917,2565941,209884492,977748,600136,<not supported>,241952,<not supported>,274419944,127667,206753064,20026,1131,40041,178841000,2997000
4526544.exe,735000898,1131978396,1923955,362941,216011639,1712536,2473,215678491,1696711,379177451,2777018,269933357,1259682,689860,<not supported>,254850,<not supported>,379949431,138761,266899677,21829,2274,41919,214669000,4992000
4578708.exe,1196481019,1424757398,2545792,523346,253014452,2864040,3259,252292189,2842655,454819980,4271591,358961744,1791020,824705,<not supported>,354341,<not supported>,463993896,212598,365875993,28847,3382,55805,349238000,4002000
4581289.exe,600422281,824887689,1746122,350726,150971161,1545377,2477,151235853,1519608,268911782,2462280,210277729,957343,629043,<not supported>,239580,<not supported>,273003434,126865,206246303,18046,887,39100,173018000,8000000
4630635.exe,342970736,517289958,1394626,348360,130896227,1261412,2476,133110442,1335091,132514954,2302873,90635090,706866,487127,<not supported>,219119,<not supported>,136783372,117645,88382941,17178,86,25068,94902000,4994000
4718203.exe,483589534,874086190,797718,122991,157589465,1275024,325,158260002,1145527,303811074,534017,203261028,473049,161967,<not supported>,52897,<not supported>,313311385,20493,205426713,4370,87,9485,140279000,3005000
4817270.exe,739112436,1128351238,1907588,356747,215753753,1732841,2473,216037107,1711050,378660002,2626985,269958290,1260948,684943,<not supported>,257174,<not supported>,380828519,139938,266977995,22721,1697,40438,216382000,3005000
4913843.exe,859663232,1259971552,2224680,504921,235338223,1924759,3251,234502025,1907142,407361323,3398962,294229880,1625291,817521,<not supported>,327560,<not supported>,415334367,216705,299252801,26550,1417,48661,246473000,9017000
