file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1285040.exe,2124893712,4038544524,3170935,434153,309481293,1725758,4039,309596556,1757463,1504361128,9139819,212205873,2293096,620974,<not supported>,341865,<not supported>,1515987069,224775,211439229,29341,27,63334,617320000,5993000
1369343.exe,10078370037,19622033275,13857302,1545838,2119547974,5567422,3611,2119356423,5662457,6118411012,65790099,3533911482,11420454,3217841,<not supported>,1422258,<not supported>,6145383807,616967,3543337372,106576,28869,226797,2919546000,3000000
1591395.exe,2316113658,4532521450,2954172,388540,208530094,1730274,1111,209859268,1752976,1799602973,2917562,213055614,2156329,550354,<not supported>,235513,<not supported>,1822184099,79051,210221577,20075,270,32124,678218000,4001000
181251.exe,4350742182,9234903195,5825450,630046,807799319,2350036,1110,807188545,2357824,3006258599,3965999,1412492354,3933835,1076494,<not supported>,493696,<not supported>,3021433385,187073,1414877350,37051,1084,67548,1269442000,2000000
2042950.exe,5687901407,11797160575,7535792,840515,1210725083,2892416,2088,1209693445,2760798,3904791170,10309742,2313506351,4988623,1444803,<not supported>,746714,<not supported>,3932740757,255705,2326962977,47542,1866,90807,1659903000,3999000
2048339.exe,10180786132,13868472246,12570759,1388586,1416983340,3933602,2084,1417332589,3896180,4517866726,12163028,2625739052,8743399,2636652,<not supported>,1248728,<not supported>,4527695232,400883,2629446067,86430,2250,150202,2978742000,6001000
2075294.exe,3884937894,5647439402,5487374,675293,213303550,2275275,2087,215583981,2279225,1513773553,9769646,322713374,3782154,979247,<not supported>,848398,<not supported>,1529348280,123756,316518262,33892,427,61859,1133012000,5000000
2110646.exe,5006899622,9860683652,6546846,765408,1011934391,2626259,2088,1011854846,2638650,3210788902,10213906,1915092635,4590449,1323496,<not supported>,695095,<not supported>,3222105082,251364,1919862062,43008,459,69949,1467287000,2998000
2117851.exe,4409503538,8233968272,5903256,698352,1004241112,3417968,1141,1005863610,3481182,2705201613,24802674,1415187086,3986236,1139199,<not supported>,473273,<not supported>,2721118711,164973,1415664854,38672,1391,80166,1294389000,1000000
2266288.exe,4146847914,2552458122,5594438,682212,215444482,2308020,2081,217480591,2332943,1619957306,9904372,226020250,4360252,1158369,<not supported>,873853,<not supported>,1624863126,209879,215991374,35641,396,62946,1210926000,3996000
2275011.exe,3317942441,4784720148,4890246,617910,312437351,37630742,4034,312420665,37679470,1658448751,9696948,263835286,3567584,1078271,<not supported>,480792,<not supported>,1664139493,274104,264156100,41548,558,81703,977927000,3999000
232022.exe,6975995595,14129690039,9284521,995154,1410570968,3190620,1106,1409925388,3152636,4707615663,5317832,2717804326,6212722,1674761,<not supported>,777766,<not supported>,4720748330,296241,2718671598,58740,1597,103475,2036606000,2999000
2361679.exe,2015072403,4333645219,2918844,363459,209514965,1711768,2079,209301499,1721350,1307624346,2986994,209308877,2079744,546736,<not supported>,275042,<not supported>,1310107053,143309,209701704,24062,226,46893,585699000,5005000
2383883.exe,2924623735,5458438970,3713665,494830,211474464,1904055,2082,212998383,1930497,2296531310,9436329,317027452,3050913,760466,<not supported>,765984,<not supported>,2316216398,123226,312119538,24224,241,42340,856468000,5002000
2434254.exe,4434362479,8230127353,5925220,678811,411175465,2381765,1108,411039281,2379763,1709955894,4227916,614474687,4431770,1156540,<not supported>,536009,<not supported>,1712136976,185510,614430477,41433,325,65311,1296754000,4002000
2560483.exe,2567350704,4454061615,3543852,435818,210233313,1824026,2081,210527171,1820118,1504470796,9236189,317535039,2974132,707485,<not supported>,776092,<not supported>,1522594589,129461,314362371,24593,128,37739,749019000,7000000
2590789.exe,1010069444,2147118732,1528627,206085,207527053,1376895,1109,206074103,1370855,310594600,2230938,108625791,929190,245888,<not supported>,172067,<not supported>,310595884,36882,104898574,8501,0,16576,294633000,4008000
2597067.exe,5739159906,9777624498,7858075,878706,1309268441,3654925,2798,1308552065,3681427,3212334328,66144808,1916627709,5226216,1742834,<not supported>,866040,<not supported>,3219496844,309090,1924080791,61437,1434,107759,1675061000,8000000
2677392.exe,2304822357,5310745994,3538298,488003,209622578,1754332,4036,209343909,1748890,1606632263,9315584,211759826,2342690,680231,<not supported>,365142,<not supported>,1619170321,280053,213018309,35901,883,69540,671202000,4001000
2792238.exe,6979652109,13511777477,9488908,1130911,1123132382,4434771,4038,1122934362,4321163,3537832310,63103674,2036803498,5979935,1822419,<not supported>,1080538,<not supported>,3540470999,431788,2037653453,116390,1777,148169,2035911000,9999000
2900204.exe,7680555550,14867395481,9701249,1064433,1927263905,3538216,1111,1925111688,3505813,4850652604,5432366,3252140082,6831347,1843902,<not supported>,823963,<not supported>,4867296454,283507,3258185576,64028,169,107803,2252557000,1000000
2950717.exe,5882341164,12040383101,7382270,804439,1208978062,2809647,1111,1207884183,2825632,3896739503,4661126,2307227345,5100241,1392313,<not supported>,670783,<not supported>,3916679459,259750,2317983143,48644,377,80883,1723773000,1000000
3093096.exe,3181592898,5464682803,4622981,539779,609668362,2885765,2613,608474107,2861762,1706520160,64850550,615698146,3038404,1035514,<not supported>,593041,<not supported>,1711486479,198932,614928432,40129,99,59112,931176000,5000000
3094511.exe,3225789585,5964219842,4655623,579283,905904398,3037035,2088,904457552,3065038,2301608648,60750964,1117225304,2936358,1034159,<not supported>,378206,<not supported>,2322741763,124298,1118552853,26732,792,56877,941237000,4001000
3097233.exe,8715031697,15985916699,10949456,1188554,2029366634,3795718,2089,2027759319,3785603,5149722892,11449269,3648982229,7480230,2128101,<not supported>,1107182,<not supported>,5166620858,395928,3661224083,75599,218,121414,2546072000,7000000
3170097.exe,3099755810,5849823427,4527026,562575,310804663,2033867,4039,311343088,2045636,1613886202,9588562,315942458,3273011,983216,<not supported>,454416,<not supported>,1617809298,238769,314635036,39219,291,78939,900709000,4998000
3264125.exe,7306240864,13435498799,9046414,1004988,1409999159,3292418,1107,1409876009,3291002,4804087677,5461207,2714964990,6206482,1712592,<not supported>,813871,<not supported>,4820490461,476009,2721800334,61321,154,100375,2143266000,3000000
3292593.exe,4191790164,8748598252,5493922,606288,908038462,2303139,1105,906386833,2274996,3002949706,3721983,1409094164,3755797,1018644,<not supported>,507202,<not supported>,3017343365,151859,1413855693,34155,420,60432,1224764000,2999000
3521391.exe,11508297303,3410465257,15024818,1615628,224747918,4491416,2082,226889960,4424441,2130399985,12691436,242224305,10513035,2807389,<not supported>,1652810,<not supported>,2130707857,471147,236576988,101911,1822,169789,3368520000,6000000
3525212.exe,2268732099,4833166938,3420304,455939,210114499,1797050,4040,211277058,1827105,1308975647,9231014,213298889,2447718,744623,<not supported>,361001,<not supported>,1317150069,214872,211712872,32689,0,64890,659764000,4004000
3634165.exe,9473366964,9093120968,12597153,1415934,1235278848,3853741,4040,1236211900,3882250,3366350386,12070601,2066449884,8671681,2545796,<not supported>,1096860,<not supported>,3370251663,445828,2064369169,92987,1145,171290,2773975000,8996000
3634876.exe,4159402641,8645228236,5800778,734993,611764059,2281813,4036,611780000,2316801,2606050310,9874827,1115337935,4020859,1210587,<not supported>,557547,<not supported>,2617763760,280072,1117037869,48104,5,92797,1217209000,5000000
3636799.exe,5957498829,11658373847,7646219,854455,1210734937,2841796,2088,1209763655,2894752,3904721628,10714057,2311698810,5368114,1539727,<not supported>,832152,<not supported>,3922052644,354548,2320870245,50696,199,85604,1740519000,5001000
