file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1017851.exe,58950123,143049523,272345,51292,19653006,114468,172,19593132,94955,50637382,3790869,2787189,52373,14123,<not supported>,4595,<not supported>,79822352,1337,156792,492,99,2736,15847000,990000
1222596.exe,85512179,208658670,243569,40591,49196124,96278,168,48203642,99100,63222676,3941550,8188968,118529,44869,<not supported>,10801,<not supported>,78628354,2920,271902,707,0,1116,23716000,988000
1333078.exe,63988319,154028987,239225,39647,26458868,106864,205,25295428,109470,54264378,3154908,9989251,101579,29124,<not supported>,14405,<not supported>,85690199,2433,230792,608,0,925,19523000,1952000
1497005.exe,162155129,426936590,326025,53090,59667349,112835,181,57643840,114804,176884947,7967737,25505628,187613,58188,<not supported>,19516,<not supported>,195617400,7773,19490895,1307,0,1904,46364000,0
1682543.exe,9159628,8213479,129849,22925,2452877,42169,223,2453077,41896,3686735,108142,2870502,110345,9406,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1728000,1728000
1738528.exe,990481797,2559482642,1842980,167947,598012248,376472,224,595709658,376415,747957649,11214491,355253717,903094,570033,<not supported>,106447,<not supported>,756343968,33921,354698518,8703,69,14870,291811000,1998000
1753870.exe,84735516,209569897,931857,45980,40184194,283840,181,40449640,287517,65424053,5215889,7512214,134076,1147819,<not supported>,13955,<not supported>,72387428,3886,280219,765,0,1216,26401000,0
1769129.exe,1445212707,2930808196,6901946,3033381,676865304,1552658,18405,675300078,1550962,852876962,18266749,415277928,2824660,4712590,<not supported>,1083477,<not supported>,840314658,1329165,410737242,167501,50667,567051,289798000,2997000
1818972.exe,57359646,146288197,289056,44182,24277139,108045,189,22740176,107398,49026733,2169813,7266745,80029,23356,<not supported>,7892,<not supported>,86848052,2117,207487,579,0,1750,18268000,1014000
1968707.exe,331622833,810731305,693806,93455,186860211,1239026,198,184125721,1214148,303574894,28382511,10076372,317482,133247,<not supported>,37931,<not supported>,328442512,10923,985127,2839,206,4842,98236000,1002000
2174475.exe,50025166,152865622,351928,61749,23306769,116833,181,29010233,89210,54733372,2129887,2239049,56439,14678,<not supported>,5813,<not supported>,79404630,2068,403075,919,79,3373,14577000,1041000
2399424.exe,58554711,137791279,289362,46400,22674791,112127,212,22006636,112706,47776726,3677204,3153058,105105,26591,<not supported>,7179,<not supported>,77492397,2086,209554,547,0,1279,18121000,1006000
2414239.exe,69111289,194414693,258568,39211,27269546,106720,209,26804808,107759,67198774,3481655,9406186,108088,30715,<not supported>,10617,<not supported>,98518951,2791,279666,675,5,1081,22295000,0
2467389.exe,56021363,128138168,297074,52171,22373921,108581,212,21776366,108057,53494704,4169590,1328776,65322,24177,<not supported>,7209,<not supported>,77666453,2092,208352,543,0,2373,16935000,1992000
2539436.exe,62730301,211833649,235465,41961,34825614,109493,155,30842226,110910,50597545,1469295,9569805,72277,20303,<not supported>,9546,<not supported>,87100570,2238,219723,568,0,937,18617000,1034000
2619764.exe,56899403,167159419,284281,48556,30537698,109780,192,30388593,109655,50382643,2663069,3056356,85433,23436,<not supported>,7235,<not supported>,77772773,3360,240155,619,0,2282,15734000,2950000
2664872.exe,55729036,116527670,290986,51032,22344439,114704,220,22320626,114719,51015223,3993114,2875912,87503,20539,<not supported>,7179,<not supported>,77724997,2084,202782,539,0,1935,16886000,1986000
2754917.exe,104207912,166229559,2693767,55538,26987638,134892,225,29035392,134395,83755703,9058846,8699832,135790,4743021,<not supported>,17506,<not supported>,108018556,7556,856225,1450,76,4291,32555000,986000
2820114.exe,52453767,117049186,360105,60210,20218247,120701,171,23900055,90256,59258749,4311195,1103721,55877,19277,<not supported>,6101,<not supported>,76641955,1815,366242,887,68,3196,15952000,0
2983368.exe,14119654,11984581,310130,120554,4437303,68772,2888,4845352,55300,7128124,309105,7670361,142442,46499,<not supported>,181839,<not supported>,12005370,49723,8072827,1295,0,7530,3091000,5153000
3008897.exe,51093159,110681556,352789,67603,19076142,119888,168,22333749,93385,57633690,4486928,323204,59816,20490,<not supported>,7563,<not supported>,73733412,1870,416198,898,60,3340,15689000,0
3261436.exe,982302839,2529099617,1831692,182041,594183364,389291,221,594001012,399183,742381534,11331467,352476340,961175,619022,<not supported>,107870,<not supported>,751882468,37400,353997932,8136,0,12155,286091000,2000000
3341389.exe,57199739,126941240,304492,56343,19576490,114704,173,20540104,93451,52881225,3954508,2694947,59520,25474,<not supported>,6593,<not supported>,78222218,1844,210520,885,31,3201,14067000,2009000
3564194.exe,52990182,107573585,334093,63424,19829587,117110,241,21128140,92715,54186409,4284056,1955264,71512,20891,<not supported>,6781,<not supported>,79057090,2803,276713,997,123,3526,15589000,974000
3608182.exe,59812969,124878134,280230,44679,23682225,102736,170,22908710,102426,50381081,3522531,2859624,70088,23378,<not supported>,7324,<not supported>,75799160,2181,212363,575,0,1012,18770000,1042000
3627461.exe,56414767,158581195,285059,41866,23958660,118120,175,22634672,114465,48148457,1661272,8000670,89156,23497,<not supported>,9301,<not supported>,87487105,3950,316777,722,192,3728,16774000,1973000
3731597.exe,6620472,7734995,151118,20806,4544532,46395,170,4425934,46015,6945257,95440,5925254,117701,47926,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,3989000,0
4162031.exe,5794152,5769177,128667,22420,2418803,41662,222,2418011,41607,3634140,109498,3385470,97735,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,2123000,1061000
4232498.exe,58033820,135976852,305771,48709,23192346,121907,206,23087499,113577,54976970,3634689,6326533,79805,26996,<not supported>,7050,<not supported>,85680361,2026,184393,523,36,3039,17078000,1004000
4392621.exe,51677654,142642296,313751,54197,19780008,127208,181,18875025,103366,48387850,1997127,2479079,67408,16454,<not supported>,6666,<not supported>,81132327,1939,187484,669,104,3631,17661000,0
4580317.exe,87565785,156532708,2397274,55604,27081569,97038,209,27391128,88943,76002196,10594881,2904460,126132,4775561,<not supported>,12864,<not supported>,82198990,9201,1000624,1362,0,1329,28344000,1012000
4771936.exe,96882654,255764982,303927,46416,48900315,97050,166,50263359,90541,125421570,6134079,3526356,122178,49196,<not supported>,12964,<not supported>,139816542,8646,2042683,923,0,1218,27535000,983000
5073456.exe,59312188,132378247,301585,51907,23744704,102041,221,23174346,103460,51325326,3993359,1841923,66855,19893,<not supported>,7357,<not supported>,76013702,2001,212897,582,0,887,19115000,1006000
515379.exe,56756670,113615002,320071,54828,23204877,108136,219,23110917,107632,55928911,4373320,748765,65089,20560,<not supported>,6960,<not supported>,75921530,3653,306523,736,136,3211,17231000,2027000
