file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
1536382.exe,607091200,1409803251,1608157,382009,225173339,983521,6775,225685372,988636,384652235,6199537,247566738,884334,292766,<not supported>,837799,<not supported>,386923897,1079829,247883762,45056,245,25784,180186474,166606000,12969000,226298219
1578979.exe,1980756609,3508765951,2948655,444792,598300816,5100541,1901,598186750,5098138,1012946162,18086092,702600434,2275261,655144,<not supported>,317002,<not supported>,1017247147,6987028,701741648,1120584,201,1067579,579848937,522600000,56956000,602609268
1605758.exe,620703451,1388356254,1423968,349208,230941014,1379013,6774,226978117,1264051,395581578,6951151,231116728,844624,288250,<not supported>,699484,<not supported>,403596175,1848904,233542780,121176,61,32554,184503203,174982000,9050000,206399978
1627487.exe,1526367629,3343363118,2608873,530784,452241814,5052895,6779,450985657,5064060,968082108,13523629,755777171,1765174,667934,<not supported>,766463,<not supported>,959692859,2366476,757586156,2954227,180,58792,449127260,431716000,17028000,470830849
1734547.exe,1735212770,2726124798,2712333,471881,482186348,2167450,4036,485920753,2181053,923470516,30340379,556040436,1841066,666735,<not supported>,553039,<not supported>,917539050,2804399,551435163,269476,457,972537,513005156,439631000,72938000,535455387
2002873.exe,1723208207,2736778111,2733105,438108,482361096,2154312,4119,485368531,2162334,921568401,30924575,554191708,1858069,664323,<not supported>,615000,<not supported>,917040303,2350619,552585645,261715,499,1017008,510001597,458588000,51065000,531067201
2049538.exe,710512796,1531927796,1321931,258228,243270286,1422977,5212,243524171,1431733,469935057,6858960,298283449,961731,361997,<not supported>,649211,<not supported>,465610364,1151351,296837512,39568,151,666013,211029005,199595000,11032000,231482680
2134592.exe,455307769,1050511408,859799,183610,188478962,368159,2575,188987443,361128,274480754,9129198,153438565,579150,505615,<not supported>,478911,<not supported>,278862896,2783401,158254951,11474,133,11732,136327470,127977000,7998000,157836150
2365914.exe,516461545,1221914075,1059145,219522,227262669,1117705,2374,228383747,1117101,259907588,5607591,195013015,713892,269295,<not supported>,181749,<not supported>,273899555,786594,196522267,12783,124,18293,155003403,147526000,7025000,176691364
2505532.exe,1411796395,2422297864,2122942,312029,449230762,2186523,2571,451591383,2192925,740532808,7618154,445179600,1488851,486166,<not supported>,491589,<not supported>,737337224,3562032,445016079,246357,1932,412647,415389008,362055000,53008000,436567215
2527896.exe,962574270,2468187217,1578142,252495,390460503,708153,4042,387414830,701042,567313661,16936832,395794275,1081492,503945,<not supported>,723506,<not supported>,563941919,158770,403872660,35432,400,22541,284180578,276873000,6996000,304729463
2653834.exe,544117065,1155668657,1433544,265628,184069858,407619,5526,186612725,416390,330972721,5948014,191516206,753782,269724,<not supported>,760250,<not supported>,324429993,1389654,190939382,68526,0,31193,164156916,153715000,9981000,185138002
2665250.exe,472548201,1147997766,892691,156594,201946172,776628,2573,202114254,783895,287662823,5350992,182168897,617123,266477,<not supported>,398022,<not supported>,284924784,718888,188298660,17829,232,16756,140530872,133253000,7013000,161084393
2701337.exe,360873241,776642191,1273844,213403,149416457,370192,3600,151335597,381379,206754115,5426119,92249832,507847,259438,<not supported>,691282,<not supported>,188231599,187067,89338064,38614,156,13455,107590041,98331000,8939000,127914725
3014683.exe,578596676,1353029219,1118534,276961,248454644,1839623,2374,245976496,1853829,287343515,5745576,215949087,712278,328281,<not supported>,115131,<not supported>,296929754,755585,214737553,13270,98,18870,173139445,167689000,4990000,193520064
3018918.exe,637636604,1371123664,1440861,509185,236164593,527441,6776,235054157,541269,472041190,1465726,267205204,1256276,376035,<not supported>,481362,<not supported>,496103368,138776,275261105,34746,320,55492,187505871,179233000,8010000,209434183
3149650.exe,472431400,1141927471,921095,172430,200878668,1006522,2573,200862439,999734,288104836,5388792,183739875,698173,292771,<not supported>,419090,<not supported>,286455300,920829,189952394,19587,50,17297,142188493,134627000,6980000,163973265
3324029.exe,483134260,1147992647,1002327,215894,180841211,770407,2185,180540481,784753,287927694,7107423,183036536,760921,334370,<not supported>,252063,<not supported>,297834491,73679,190255975,13410,2,22963,146012130,138642000,6982000,167193739
3456840.exe,603555835,1442057825,1195920,280374,248187776,1005110,5214,245702412,983097,325934493,12521228,194546074,783837,415469,<not supported>,719521,<not supported>,333093877,1229219,198120540,30704,431,14042,177485539,166166000,11011000,198193543
3551847.exe,614565171,1473251114,1265928,301703,240060828,2129069,2572,239661790,2130239,344947469,5599727,239357655,837431,311312,<not supported>,222872,<not supported>,355020523,1023449,240575020,535575,395,45576,179301084,174008000,5000000,200625729
3645873.exe,794401064,1761315182,1464912,252312,311787506,1706251,2490,313441516,1676512,436324962,13522743,337449701,974665,465543,<not supported>,419037,<not supported>,436022305,1539676,344555618,110532,550,20677,235658796,229113000,6002000,256150721
3722205.exe,1515983588,2612186204,2594481,605797,515631854,3377674,7159,515915169,3358633,824191857,1642899,471974921,2058033,597246,<not supported>,746516,<not supported>,823435819,2843296,472062821,266681,1824,917987,445075676,380805000,63967000,466171346
3795140.exe,990690003,1729529474,1704289,311053,263830546,2135147,2378,264435197,2192744,461281542,22830686,352084677,1228998,433412,<not supported>,268161,<not supported>,471486004,4307036,352052023,459398,664,41180,293375944,285014000,8000000,314381749
3843447.exe,753002293,1715571188,1238656,203373,255993919,1871668,2964,257608134,1860874,397492900,13037680,275515455,979708,350200,<not supported>,468918,<not supported>,394789703,1842482,282047397,586355,302,18401,224174694,215785000,8029000,245634353
3930860.exe,441909559,1015121723,904069,151530,198453774,568522,2577,198883256,568747,241417737,5464422,136440396,618886,264344,<not supported>,394588,<not supported>,237711177,1313864,137395145,18562,467,14155,133467130,126998000,5999000,154504661
4006798.exe,444645589,988605103,883869,153100,181889739,788703,2574,182538403,792716,255963167,4961939,144394627,690710,260462,<not supported>,394574,<not supported>,251073591,1183731,146800162,20708,48,664612,133689777,126280000,7015000,155305089
