file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1570142.exe ,  0.38,  0.27,  0.00,  0.01,  0.00,   26172982,   23945000,    1995000
1647016.exe ,  5.31,  4.20,  0.00,  0.10,  0.00,  281477041,  281493000,          0
2087440.exe ,  4.80,  3.94,  0.00,  0.07,  0.00,  215774658,  214798000,     999000
2148414.exe ,  1.29,  1.01,  0.00,  0.02,  0.00,   70207395,   70277000,          0
2492423.exe ,  1.23,  0.97,  0.00,  0.02,  0.00,   65580712,   64605000,    1009000
5111284.exe ,  1.18,  0.92,  0.00,  0.02,  0.00,   65889983,   64854000,     997000
511502.exe  ,  1.79,  1.44,  0.00,  0.03,  0.00,   86931878,   85917000,     999000
5127391.exe ,  0.61,  0.47,  0.00,  0.01,  0.00,   36285928,   35305000,    1008000
5426291.exe ,  3.37,  2.66,  0.00,  0.06,  0.00,  176546022,  175574000,     997000
5466468.exe ,  1.28,  1.01,  0.00,  0.02,  0.00,   66895061,   65901000,     998000
6273484.exe ,  0.65,  0.50,  0.00,  0.01,  0.00,   37252432,   36274000,    1007000
634796.exe  ,  1.32,  1.05,  0.00,  0.02,  0.00,   68595532,   67603000,    1009000
6594659.exe ,  9.51,  7.52,  0.00,  0.17,  0.00,  498548128,  496531000,    1998000
7708071.exe ,  0.36,  0.27,  0.00,  0.01,  0.00,   22511180,   21503000,    1023000
7823228.exe ,  1.23,  0.98,  0.00,  0.02,  0.00,   62400374,   61421000,    1006000
7829045.exe ,  5.15,  4.20,  0.00,  0.08,  0.00,  238429326,  235473000,    3006000
8001049.exe ,  1.31,  1.02,  0.00,  0.02,  0.00,   71326513,   71334000,          0
8005036.exe ,  1.21,  0.96,  0.00,  0.02,  0.00,   63487788,   61489000,    2016000
8349555.exe , 10.88,  8.65,  0.00,  0.19,  0.00,  558018052,  556855000,     999000
908305.exe  ,  0.76,  0.60,  0.00,  0.01,  0.00,   41089695,   39072000,    2003000
