file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1651759.exe ,  5.84,  4.68,  0.00,  0.10,  0.00,  284723031,  225168000,   59044000
2354500.exe ,  6.75,  5.38,  0.00,  0.12,  0.00,  344431327,  331392000,   13015000
2473478.exe ,  1.57,  1.25,  0.00,  0.03,  0.00,   80386220,   72486000,    7943000
2981499.exe ,  8.96,  7.16,  0.00,  0.15,  0.00,  448762673,  272338000,   17956000
2984311.exe ,  1.95,  1.58,  0.00,  0.03,  0.00,   93779474,   89543000,    4024000
299068.exe  ,  6.61,  5.23,  0.00,  0.11,  0.00,  337253953,  324272000,   12970000
310302.exe  ,  4.37,  3.49,  0.00,  0.07,  0.00,  218463594,   88559000,   10884000
3573059.exe ,  2.13,  1.70,  0.00,  0.04,  0.00,  107521461,  102534000,    4977000
3889320.exe ,  5.71,  4.65,  0.00,  0.09,  0.00,  269328440,  266334000,    2992000
3892773.exe ,  2.00,  1.61,  0.00,  0.03,  0.00,   97313505,   93279000,    4012000
420068.exe  ,  1.95,  1.55,  0.00,  0.03,  0.00,   99215330,   83092000,   16017000
4563400.exe ,  1.88,  1.51,  0.00,  0.03,  0.00,   92443492,   86479000,    5964000
4758293.exe ,  7.06,  5.71,  0.00,  0.12,  0.00,  339664032,  329625000,   10019000
5888891.exe ,  7.73,  6.17,  0.00,  0.13,  0.00,  382846056,  365841000,   17039000
631007.exe  ,  3.18,  2.53,  0.00,  0.06,  0.00,  162899756,  149805000,   12983000
6349744.exe ,  2.93,  2.33,  0.00,  0.05,  0.00,  144670743,  136695000,    7982000
7009955.exe ,  5.64,  4.58,  0.00,  0.09,  0.00,  265046077,  257033000,    8001000
7917842.exe ,  5.69,  4.62,  0.00,  0.09,  0.00,  268294713,  262273000,    6006000
8357688.exe ,  4.43,  3.54,  0.00,  0.07,  0.00,  219193745,   89876000,   10914000
991360.exe  ,  5.56,  4.51,  0.00,  0.09,  0.00,  262432438,  254460000,    7983000
