file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1727828.exe ,  2.97,  2.35,  0.00,  0.05,  0.00,  153167386,     954000,    8318000
2046266.exe ,  4.77,  3.78,  0.00,  0.08,  0.00,  248982618,  244919000,    3998000
2084242.exe ,  5.18,  4.20,  0.00,  0.08,  0.00,  245644890,  238654000,    6989000
2838507.exe ,  2.52,  2.02,  0.00,  0.04,  0.00,  126468121,  118405000,    8027000
3424191.exe ,  4.78,  3.80,  0.00,  0.08,  0.00,  246317018,  244316000,    2002000
3425234.exe ,  4.82,  3.83,  0.00,  0.08,  0.00,  248225155,  245129000,    3001000
3428138.exe ,  4.85,  3.88,  0.00,  0.08,  0.00,  243903204,  242704000,    1002000
3881005.exe ,  4.89,  3.91,  0.00,  0.08,  0.00,  247059982,  244021000,    3000000
3994586.exe ,  2.89,  2.22,  0.00,  0.04,  0.00,  129666392,  121687000,    7979000
4212368.exe ,  4.86,  3.87,  0.00,  0.08,  0.00,  247076360,  241988000,    4979000
421866.exe  ,  4.90,  3.87,  0.00,  0.09,  0.00,  251890693,  245833000,    5995000
4448337.exe ,  4.87,  3.88,  0.00,  0.08,  0.00,  247114150,  242159000,    4982000
4549023.exe ,  8.66,  6.89,  0.00,  0.13,  0.00,  391046140,  248015000,  143009000
5391029.exe ,  3.90,  3.16,  0.00,  0.06,  0.00,  186885544,  184839000,    1998000
5748910.exe ,  4.87,  3.88,  0.00,  0.08,  0.00,  248426706,  244409000,    4006000
6083074.exe ,  4.90,  3.90,  0.00,  0.09,  0.00,  250194124,  243202000,    7005000
6170599.exe ,  4.93,  3.94,  0.00,  0.08,  0.00,  246743376,  244726000,    1997000
6426234.exe ,  4.92,  3.90,  0.00,  0.09,  0.00,  252471960,  248494000,    4007000
6801212.exe ,  8.44,  6.92,  0.00,  0.13,  0.00,  378275532,  375221000,    3001000
6952877.exe ,  4.81,  3.84,  0.00,  0.08,  0.00,  245384289,  240331000,    4986000
