file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1141254.exe ,  0.29,  0.22,  0.00,  0.00,  0.00,   13043414,    9849000,    2954000
1192925.exe ,  0.64,  0.49,  0.00,  0.01,  0.00,   36273403,   34364000,    1963000
166404.exe  ,  0.62,  0.49,  0.00,  0.01,  0.00,   34657917,   34678000,          0
1840297.exe ,  0.27,  0.22,  0.00,  0.00,  0.00,   14077776,   13043000,    1003000
2025154.exe ,  0.27,  0.20,  0.00,  0.01,  0.00,   17397655,   15362000,    2048000
2320041.exe ,  0.66,  0.51,  0.00,  0.01,  0.00,   37736946,   36741000,     993000
2607963.exe ,  0.26,  0.21,  0.00,  0.00,  0.00,   11819455,   11811000,          0
4061439.exe ,  0.66,  0.52,  0.00,  0.01,  0.00,   37204940,   35205000,    2011000
4091019.exe ,  0.27,  0.22,  0.00,  0.00,  0.00,   12566849,   10578000,    1923000
4457827.exe ,  0.39,  0.34,  0.00,  0.00,  0.00,   11893498,   11851000,          0
4624508.exe ,  0.64,  0.50,  0.00,  0.01,  0.00,   34555643,   31627000,    2965000
4806011.exe ,  0.25,  0.19,  0.00,  0.01,  0.00,   15856686,   13870000,    1981000
4823473.exe ,  0.62,  0.47,  0.00,  0.01,  0.00,   37881925,   35871000,    1992000
4823855.exe ,  0.26,  0.19,  0.00,  0.01,  0.00,   16890563,   13736000,    3169000
5137967.exe ,  0.64,  0.49,  0.00,  0.01,  0.00,   36704288,   34741000,    1985000
5606913.exe ,  0.28,  0.21,  0.00,  0.01,  0.00,   16265270,   13212000,    3049000
5784842.exe ,  0.32,  0.24,  0.00,  0.01,  0.00,   19075365,   18102000,    1005000
788876.exe  ,  0.64,  0.50,  0.00,  0.01,  0.00,   36362304,   36355000,          0
8124566.exe ,  0.29,  0.22,  0.00,  0.01,  0.00,   16256541,   14239000,    2034000
950066.exe  ,  0.26,  0.19,  0.00,  0.01,  0.00,   15925860,   13923000,    1989000
