file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1091584.exe ,  4.72,  3.76,  0.00,  0.08,  0.00,  243538039,  235336000,    7977000
1680187.exe ,  4.65,  3.71,  0.00,  0.08,  0.00,  237756720,  233763000,    3995000
1723554.exe ,  2.43,  1.97,  0.00,  0.04,  0.00,  117241149,  110216000,    7013000
1727828.exe ,  2.89,  2.24,  0.00,  0.06,  0.00,  161223837,     979000,    7825000
176146.exe  ,  4.69,  3.74,  0.00,  0.08,  0.00,  238801636,  236775000,    1998000
1910626.exe ,  4.77,  3.81,  0.00,  0.08,  0.00,  240845330,  233811000,    7024000
1953417.exe ,  3.26,  2.60,  0.00,  0.06,  0.00,  165872682,  160905000,    4997000
2004438.exe ,  4.80,  3.80,  0.00,  0.08,  0.00,  249123183,  244161000,    5003000
202443.exe  ,  4.66,  3.71,  0.00,  0.08,  0.00,  238818444,  236812000,    2006000
2046266.exe ,  4.71,  3.76,  0.00,  0.08,  0.00,  239615793,  235634000,    3993000
2084242.exe ,  4.75,  3.80,  0.00,  0.08,  0.00,  239234778,  233196000,    6005000
2337463.exe ,  3.36,  2.67,  0.00,  0.06,  0.00,  170175589,  158254000,   11943000
2534515.exe ,  3.46,  2.79,  0.00,  0.06,  0.00,  167131387,  161095000,    5966000
2970400.exe ,  8.32,  6.87,  0.00,  0.12,  0.00,  364131429,  358104000,    6001000
2992391.exe ,  4.72,  3.76,  0.00,  0.08,  0.00,  241372368,  236298000,    5006000
3079464.exe ,  4.75,  3.81,  0.00,  0.08,  0.00,  236280576,  233179000,    3002000
3229339.exe ,  3.05,  2.45,  0.00,  0.05,  0.00,  147995433,  140933000,    6996000
3370629.exe ,  4.73,  3.77,  0.00,  0.08,  0.00,  240327901,  233321000,    7009000
3372074.exe ,  3.22,  2.57,  0.00,  0.05,  0.00,  160759241,  157751000,    2995000
3375350.exe ,  7.25,  5.94,  0.00,  0.11,  0.00,  325995014,  316011000,   10000000
3385679.exe ,  8.93,  6.76,  0.00,  0.13,  0.00,  372176156,  358156000,   14006000
3422843.exe , 10.97,  9.04,  0.00,  0.16,  0.00,  482651324,  477632000,    4996000
3424191.exe ,  4.66,  3.70,  0.00,  0.08,  0.00,  239499539,  237489000,    2004000
3428138.exe ,  4.69,  3.72,  0.00,  0.08,  0.00,  240202076,  236114000,    4001000
3523688.exe ,  4.82,  3.87,  0.00,  0.08,  0.00,  239661592,  235637000,    4010000
3529361.exe ,  3.23,  2.58,  0.00,  0.05,  0.00,  161840838,  155779000,    5991000
3661212.exe ,  4.67,  3.72,  0.00,  0.08,  0.00,  234659248,  230589000,    3992000
3663182.exe ,  4.75,  3.78,  0.00,  0.08,  0.00,  241489048,  234495000,    7014000
3883785.exe ,  2.60,  2.06,  0.00,  0.04,  0.00,  132212791,  126192000,    6009000
3994586.exe ,  2.93,  2.27,  0.00,  0.04,  0.00,  127818271,  121670000,    6033000
4184640.exe ,  3.54,  2.82,  0.00,  0.06,  0.00,  178779319,  171648000,    6985000
4212368.exe ,  4.80,  3.84,  0.00,  0.08,  0.00,  239249501,  236051000,    3000000
424396.exe  ,  4.77,  3.79,  0.00,  0.08,  0.00,  243298040,  236203000,    6976000
4448337.exe ,  4.70,  3.74,  0.00,  0.08,  0.00,  238648095,  236474000,    2004000
4492853.exe ,  4.65,  3.70,  0.00,  0.08,  0.00,  238521893,  236189000,    2001000
4504170.exe ,  8.57,  7.03,  0.00,  0.13,  0.00,  382473157,  373447000,    8986000
