file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1168229.exe ,  7.14,  5.81,  0.00,  0.11,  0.00,  335104193,  323681000,   10989000
1239379.exe ,  5.48,  4.45,  0.00,  0.09,  0.00,  261171164,  256082000,    5001000
1253440.exe ,  1.88,  1.51,  0.00,  0.03,  0.00,   91810042,   83797000,    7980000
1363825.exe ,  7.74,  6.14,  0.00,  0.13,  0.00,  388333456,  376376000,   12012000
1373378.exe ,  7.89,  6.29,  0.00,  0.13,  0.00,  388390300,  370390000,   17970000
1380046.exe ,  7.04,  5.71,  0.00,  0.11,  0.00,  334204811,  324088000,   10002000
1405031.exe ,  6.26,  5.08,  0.00,  0.10,  0.00,  293783133,  287670000,    6014000
1484788.exe ,  5.96,  4.68,  0.00,  0.11,  0.00,  311855050,  139760000,   16144000
1757160.exe ,  3.22,  2.58,  0.00,  0.05,  0.00,  161214268,  155175000,    6006000
1794636.exe ,  6.98,  5.64,  0.00,  0.11,  0.00,  333832108,  322787000,   10992000
1841293.exe ,  3.86,  3.07,  0.00,  0.07,  0.00,  190980895,  176905000,   13992000
208193.exe  ,  3.29,  2.60,  0.00,  0.06,  0.00,  170640162,  162673000,    7983000
208205.exe  ,  1.99,  1.57,  0.00,  0.04,  0.00,  103154752,   97089000,    6005000
2116056.exe ,  4.67,  3.73,  0.00,  0.08,  0.00,  230645408,   99492000,   11054000
213413.exe  ,  5.62,  4.58,  0.00,  0.09,  0.00,  258810766,  255754000,    2997000
2265253.exe ,  8.05,  6.53,  0.00,  0.13,  0.00,  380956475,  370960000,    9998000
2289173.exe ,  1.95,  1.55,  0.00,  0.03,  0.00,   98526612,   85468000,   13071000
2363790.exe ,  7.31,  5.90,  0.00,  0.12,  0.00,  349975599,  340959000,    8972000
2364548.exe ,  1.66,  1.32,  0.00,  0.03,  0.00,   83183564,   73190000,   10026000
2366881.exe ,  7.67,  6.05,  0.00,  0.13,  0.00,  388819856,  372856000,   15993000
2369365.exe ,  2.74,  2.18,  0.00,  0.05,  0.00,  132453537,  127503000,    4980000
2487064.exe , 11.61,  9.28,  0.00,  0.19,  0.00,  564806880,  539748000,   25034000
2547532.exe ,  3.61,  2.89,  0.00,  0.06,  0.00,  179348643,  169243000,    9955000
2632607.exe ,  7.22,  5.86,  0.00,  0.11,  0.00,  336635380,  324608000,   11985000
2983245.exe , 11.64,  9.31,  0.00,  0.19,  0.00,  563676620,  536670000,   26983000
