file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1017851.exe , 28.32, 23.13,  0.00,  0.44,  0.00, 1311576374, 1308277000,    2996000, 1331527666
1222596.exe ,  7.47,  6.10,  0.00,  0.12,  0.00,  346508779,  346518000,          0,  366025110
1333078.exe ,  7.65,  6.24,  0.00,  0.12,  0.00,  354838874,  353858000,     999000,  371968124
1497005.exe , 85.03, 69.36,  0.00,  1.33,  0.00, 3916397221, 3914006000,    1999000, 3934122416
1682543.exe , 14.43, 11.85,  0.00,  0.22,  0.00,  645898220,  644892000,     999000,  663722807
1738528.exe , 58.10, 47.83,  0.00,  0.87,  0.00, 2564370871, 2560969000,    2998000, 2581570778
1753870.exe ,  7.44,  6.05,  0.00,  0.12,  0.00,  349089424,  348001000,    1000000,  369079050
1769129.exe , 56.31, 46.31,  0.00,  0.85,  0.00, 2500293074, 2498064000,    2000000, 2523766210
1818972.exe ,  5.44,  4.47,  0.00,  0.08,  0.00,  246595098,  244483000,    1995000,  266915282
1968707.exe , 13.52, 11.05,  0.00,  0.21,  0.00,  618409221,  618326000,          0,  635774524
2174475.exe ,  6.00,  4.86,  0.00,  0.10,  0.00,  283064476,  282070000,    1000000,  301168950
2399424.exe ,  8.18,  6.69,  0.00,  0.13,  0.00,  372352523,  369365000,    2994000,  389075445
2414239.exe ,  5.74,  4.70,  0.00,  0.09,  0.00,  259927996,  258933000,     999000,  277834284
2467389.exe ,  8.09,  6.63,  0.00,  0.12,  0.00,  364678915,  364655000,          0,  382712277
2539436.exe , 17.89, 14.70,  0.00,  0.27,  0.00,  796442459,  795295000,     999000,  816184475
2619764.exe ,  7.36,  6.01,  0.00,  0.11,  0.00,  335935676,  334819000,     999000,  353272296
2664872.exe , 15.29, 12.44,  0.00,  0.24,  0.00,  711731684,  710661000,    1000000,  729485109
2754917.exe ,  8.56,  7.04,  0.00,  0.13,  0.00,  377508556,  375548000,    1997000,  395339364
2820114.exe ,  7.92,  6.44,  0.00,  0.13,  0.00,  368459123,  366298000,    1996000,  387684564
2983368.exe , 14.43, 11.76,  0.00,  0.22,  0.00,  661441084,  654404000,    7004000,  678699415
3008897.exe ,  4.45,  3.60,  0.00,  0.07,  0.00,  210850662,  207626000,    2994000,  229359144
3261436.exe , 58.56, 48.55,  0.00,  0.85,  0.00, 2494834592, 2491534000,    2999000, 2515196292
3341389.exe ,  8.04,  6.57,  0.00,  0.12,  0.00,  363844184,  361851000,    1999000,  383062709
3564194.exe ,  5.81,  4.72,  0.00,  0.09,  0.00,  269768706,  267701000,    1997000,  289766097
3608182.exe ,  2.65,  2.17,  0.00,  0.04,  0.00,  124538429,  123541000,    1004000,  142489380
3627461.exe , 26.70, 21.75,  0.00,  0.42,  0.00, 1231981807, 1230998000,     999000, 1251821790
3731597.exe , 48.59, 39.63,  0.00,  0.76,  0.00, 2228229503, 2227007000,    1000000, 2247368486
