file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1099920.exe ,  0.24,  0.17,  0.00,  0.01,  0.00,   16279696,   15038000,    1002000,   35850356
1141254.exe ,  0.25,  0.19,  0.00,  0.01,  0.00,   15756228,   13766000,    1966000,   35552838
1164955.exe ,  0.35,  0.28,  0.00,  0.01,  0.00,   17232686,   15269000,    1908000,   33898061
1192925.exe ,  0.63,  0.47,  0.00,  0.01,  0.00,   38681361,   35658000,    2971000,   58197783
1253138.exe ,  0.74,  0.61,  0.00,  0.01,  0.00,   32922358,   32907000,          0,   48893465
1346798.exe ,  0.64,  0.49,  0.00,  0.01,  0.00,   37389679,   35371000,    2021000,   54792663
1399024.exe ,  0.88,  0.72,  0.00,  0.01,  0.00,   36556503,   34556000,    1974000,   56325528
182932.exe  ,  0.35,  0.27,  0.00,  0.01,  0.00,   19409841,   17443000,    1938000,   36345873
1840297.exe ,  0.28,  0.21,  0.00,  0.01,  0.00,   16681596,   14664000,    2094000,   33522881
1859305.exe ,  0.27,  0.22,  0.00,  0.00,  0.00,   13717835,   10681000,    2913000,   30188492
1863270.exe ,  0.27,  0.21,  0.00,  0.00,  0.00,   14110517,   12093000,    2015000,   32742017
1956910.exe ,  0.28,  0.21,  0.00,  0.01,  0.00,   18225736,   15186000,    3037000,   36457264
2025154.exe ,  0.27,  0.20,  0.00,  0.01,  0.00,   16088572,   14081000,    2011000,   30937026
211894.exe  ,  0.30,  0.24,  0.00,  0.01,  0.00,   17031702,   14912000,    1988000,   35709611
2158936.exe ,  0.68,  0.53,  0.00,  0.01,  0.00,   36115460,   34123000,    2007000,   55254577
2165152.exe ,  0.66,  0.51,  0.00,  0.01,  0.00,   37561930,   33620000,    3955000,   54538180
2255569.exe ,  0.27,  0.21,  0.00,  0.01,  0.00,   15888250,   13810000,    2124000,   32422419
2320041.exe ,  0.66,  0.51,  0.00,  0.01,  0.00,   37469266,   35448000,    2025000,   56563864
2543436.exe ,  0.28,  0.22,  0.00,  0.01,  0.00,   15947326,   12723000,    3180000,   34409574
2595975.exe ,  0.26,  0.20,  0.00,  0.01,  0.00,   14452177,   12471000,    1918000,   32744808
2605208.exe ,  0.25,  0.19,  0.00,  0.01,  0.00,   16297338,   14315000,    2045000,   36878394
2605331.exe ,  0.25,  0.19,  0.00,  0.01,  0.00,   15625602,   13509000,    2078000,   33388165
2607963.exe ,  0.25,  0.19,  0.00,  0.01,  0.00,   15176277,   13328000,    1904000,   32186096
2712872.exe ,  0.23,  0.17,  0.00,  0.01,  0.00,   14900060,   13924000,     994000,   34532891
2768935.exe ,  0.28,  0.21,  0.00,  0.01,  0.00,   15660122,   12719000,    2935000,   32779297
2789652.exe ,  0.67,  0.53,  0.00,  0.01,  0.00,   35332160,   34251000,    1007000,   54504136
2793938.exe ,  0.55,  0.42,  0.00,  0.01,  0.00,   31283219,   24439000,    6843000,   48539232
2823544.exe ,  0.64,  0.49,  0.00,  0.01,  0.00,   36129621,   35124000,    1003000,   52801042
2942166.exe ,  0.66,  0.53,  0.00,  0.01,  0.00,   33964265,   31901000,    1993000,   52463886
2951975.exe ,  0.66,  0.51,  0.00,  0.01,  0.00,   36594141,   33668000,    2970000,   56526312
2974603.exe ,  0.24,  0.18,  0.00,  0.01,  0.00,   15624365,   14548000,    1039000,   35430826
3144096.exe ,  2.15,  1.71,  0.00,  0.04,  0.00,  108249455,   46701000,   61605000,  127623373
3300816.exe ,  0.28,  0.21,  0.00,  0.01,  0.00,   15863635,   12910000,    2979000,   32409716
3373883.exe ,  0.66,  0.51,  0.00,  0.01,  0.00,   36864961,   34866000,    1992000,   54627221
3500180.exe ,  0.65,  0.50,  0.00,  0.01,  0.00,   36590646,   34627000,    1978000,   54053273
3636636.exe ,  0.29,  0.22,  0.00,  0.01,  0.00,   16973364,   11963000,    4984000,   36470880
3806795.exe ,  0.25,  0.19,  0.00,  0.01,  0.00,   14509985,   13479000,    1036000,   30883530
3941489.exe ,  0.64,  0.50,  0.00,  0.01,  0.00,   35998554,   34008000,    2000000,   55828276
405152.exe  ,  0.66,  0.52,  0.00,  0.01,  0.00,   36540453,   35589000,    1016000,   53342613
4091019.exe ,  0.26,  0.20,  0.00,  0.01,  0.00,   15962211,   14961000,     997000,   35521828
4137155.exe ,  0.63,  0.49,  0.00,  0.01,  0.00,   35828031,   33808000,    2048000,   56096566
4229381.exe ,  0.27,  0.20,  0.00,  0.01,  0.00,   15447262,   12541000,    2894000,   31691004
4259947.exe ,  0.63,  0.49,  0.00,  0.01,  0.00,   36347081,   33336000,    3030000,   53833159
4327196.exe ,  0.63,  0.48,  0.00,  0.01,  0.00,   35777538,   34790000,     994000,   55552643
4388131.exe ,  0.26,  0.20,  0.00,  0.01,  0.00,   15916731,   13932000,    1990000,   33152811
4453075.exe ,  0.63,  0.49,  0.00,  0.01,  0.00,   35651211,   34729000,     992000,   55220300
4457827.exe ,  0.24,  0.18,  0.00,  0.01,  0.00,   15034218,   14045000,    1003000,   34750547
4509738.exe ,  0.24,  0.18,  0.00,  0.01,  0.00,   15460923,   14442000,    1031000,   33294885
4541520.exe ,  0.26,  0.20,  0.00,  0.01,  0.00,   16012547,   13004000,    3000000,   36535107
4546781.exe ,  0.27,  0.20,  0.00,  0.01,  0.00,   16994881,   14036000,    3007000,   35235347
4624508.exe ,  0.67,  0.52,  0.00,  0.01,  0.00,   35656147,   32693000,    2972000,   52213435
4823855.exe ,  0.25,  0.19,  0.00,  0.01,  0.00,   16466055,   14524000,    1936000,   36416397
5023680.exe ,  0.29,  0.22,  0.00,  0.01,  0.00,   17275098,   14233000,    3050000,   34421069
5118662.exe ,  0.27,  0.21,  0.00,  0.00,  0.00,   14453810,   12360000,    2060000,   31916839
5137967.exe ,  0.66,  0.51,  0.00,  0.01,  0.00,   36602080,   33685000,    2972000,   54029155
540473.exe  ,  0.65,  0.50,  0.00,  0.01,  0.00,   35964565,   33968000,    1998000,   55468922
5535842.exe ,  0.42,  0.33,  0.00,  0.01,  0.00,   23767267,   16538000,    7235000,   41635959
5567076.exe ,  0.26,  0.19,  0.00,  0.01,  0.00,   15893528,   14880000,    1062000,   33580714
5643578.exe ,  0.27,  0.20,  0.00,  0.01,  0.00,   15982858,   12978000,    2995000,   32428210
5667290.exe ,  0.28,  0.21,  0.00,  0.01,  0.00,   16019142,   13094000,    3021000,   36063926
5784842.exe ,  0.33,  0.26,  0.00,  0.01,  0.00,   19175151,   17154000,    2018000,   36425637
5981411.exe ,  0.24,  0.18,  0.00,  0.01,  0.00,   15751784,   15760000,          0,   32740243
6093834.exe ,  0.64,  0.49,  0.00,  0.01,  0.00,   36968146,   34042000,    2917000,   57474290
610334.exe  ,  0.68,  0.53,  0.00,  0.01,  0.00,   37319654,   36335000,    1009000,   54321284
6275088.exe ,  0.65,  0.48,  0.00,  0.01,  0.00,   40465354,   36540000,    3950000,   59945483
663149.exe  ,  0.26,  0.19,  0.00,  0.01,  0.00,   15996629,   14015000,    2002000,   36013163
