file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1135633.exe ,  4.79,  3.87,  0.00,  0.08,  0.00,  227917273,  223651000,    4011000,  248588911
1247568.exe ,  7.64,  6.23,  0.00,  0.12,  0.00,  353232820,  350167000,    3001000,  370214223
1265407.exe ,  4.94,  4.02,  0.00,  0.08,  0.00,  230034712,  225064000,    5001000,  245900191
1290299.exe ,  4.84,  3.93,  0.00,  0.08,  0.00,  226977171,  220911000,    5997000,  246761506
1291495.exe ,  3.96,  3.20,  0.00,  0.06,  0.00,  189025152,  182021000,    7000000,  208846765
1316604.exe ,  6.88,  5.59,  0.00,  0.11,  0.00,  320532191,  315488000,    5007000,  341110888
1376560.exe ,  4.65,  3.78,  0.00,  0.07,  0.00,  218263550,  208306000,    9966000,  235517866
1407254.exe ,  3.32,  2.69,  0.00,  0.05,  0.00,  158383369,  153349000,    5011000,  176698725
1442933.exe ,  4.79,  3.90,  0.00,  0.08,  0.00,  221470007,  214468000,    7015000,  238641010
1477356.exe ,  5.20,  4.24,  0.00,  0.08,  0.00,  238629169,  232610000,    5989000,  258463117
1510302.exe ,  5.01,  4.09,  0.00,  0.08,  0.00,  228950303,  225930000,    2999000,  247486003
1545872.exe ,  4.86,  3.95,  0.00,  0.08,  0.00,  225307292,  219393000,    5983000,  242691308
1655898.exe ,  4.78,  3.88,  0.00,  0.08,  0.00,  221082149,  217061000,    4001000,  237952674
1832846.exe ,  4.59,  3.73,  0.00,  0.07,  0.00,  211701885,  201803000,    9941000,  232481102
1867433.exe ,  4.96,  4.03,  0.00,  0.08,  0.00,  229346968,  221335000,    8012000,  248322412
2004531.exe ,  8.04,  6.56,  0.00,  0.13,  0.00,  368844178,  359832000,    8995000,  385629183
2059675.exe , 13.25, 10.81,  0.00,  0.21,  0.00,  605045468,  593039000,   12000000,  622248991
2126568.exe ,  5.06,  4.14,  0.00,  0.08,  0.00,  228049046,  220064000,    7966000,  248630446
2147790.exe ,  4.98,  4.06,  0.00,  0.08,  0.00,  229468428,  223472000,    6012000,  246915894
2384511.exe ,  4.88,  3.97,  0.00,  0.08,  0.00,  227788580,  216784000,   10989000,  245158167
2531093.exe ,  5.16,  4.19,  0.00,  0.08,  0.00,  239351049,  236315000,    3004000,  259109315
2589093.exe ,  4.89,  3.98,  0.00,  0.08,  0.00,  226007651,  221891000,    3998000,  245964274
2678777.exe ,  7.92,  6.45,  0.00,  0.12,  0.00,  362582106,  354602000,    8013000,  380208705
2772441.exe ,  5.38,  4.37,  0.00,  0.08,  0.00,  247599732,  243597000,    3993000,  264859910
