file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1097695.exe ,  8.78,  7.16,  0.00,  0.14,  0.00,  409479099,  386272000,   22956000,  428612682
1316078.exe , 25.64, 20.96,  0.00,  0.40,  0.00, 1183669495, 1182643000,    1000000, 1200327906
1375143.exe , 25.65, 21.13,  0.00,  0.38,  0.00, 1132896288, 1086836000,   46035000, 1153157382
1403565.exe , 67.55, 55.97,  0.00,  0.98,  0.00, 2899511220, 2894165000,    4998000, 2919675968
1511347.exe , 71.04, 58.33,  0.00,  1.08,  0.00, 3180123573, 3150748000,   28997000, 3197144873
1663963.exe , 24.35, 19.91,  0.00,  0.38,  0.00, 1108927691, 1106820000,    2001000, 1126956680
1765531.exe , 66.72, 55.09,  0.00,  0.99,  0.00, 2915888048, 2912592000,    2999000, 2933109690
1863351.exe , 21.55, 17.68,  0.00,  0.33,  0.00,  968694797,  965654000,    2998000,  988414808
1908480.exe , 18.92, 15.45,  0.00,  0.29,  0.00,  866411760,  864376000,    2000000,  884945938
2377312.exe , 58.86, 48.61,  0.00,  0.87,  0.00, 2568890933, 2565695000,    2999000, 2589235180
2470367.exe ,  6.79,  5.51,  0.00,  0.11,  0.00,  320595697,  317604000,    3005000,  337509939
248468.exe  , 25.98, 21.39,  0.00,  0.39,  0.00, 1150935795, 1131824000,   18997000, 1170161481
248562.exe  , 20.06, 16.47,  0.00,  0.30,  0.00,  893422551,  862305000,   31010000,  913051668
250468.exe  , 72.56, 60.00,  0.00,  1.07,  0.00, 3141221835, 3137865000,    2999000, 3158425641
2552614.exe , 69.06, 56.78,  0.00,  1.04,  0.00, 3059606549, 3056195000,    2999000, 3078831802
2681777.exe , 71.34, 58.66,  0.00,  1.07,  0.00, 3160370444, 3159336000,    1000000, 3181447870
2757092.exe , 49.21, 40.46,  0.00,  0.74,  0.00, 2174813394, 2136554000,   38009000, 2192861958
2796766.exe , 18.76, 15.48,  0.00,  0.28,  0.00,  821099781,  818993000,    1999000,  840502106
2982528.exe , 48.31, 39.86,  0.00,  0.71,  0.00, 2105631322, 2079533000,   25994000, 2124874226
3162850.exe , 12.96, 10.63,  0.00,  0.20,  0.00,  580617435,  578674000,    2002000,  600126701
3564636.exe , 65.78, 54.12,  0.00,  0.98,  0.00, 2900473020, 2897148000,    2999000, 2916680914
3574537.exe , 73.61, 60.50,  0.00,  1.11,  0.00, 3261863219, 3233735000,   27997000, 3279522913
3634806.exe ,  9.95,  8.23,  0.00,  0.15,  0.00,  428547961,  425593000,    2997000,  448124837
3648026.exe , 22.53, 18.56,  0.00,  0.34,  0.00,  988498089,  987412000,    1000000, 1006453466
3660670.exe , 75.11, 62.03,  0.00,  1.11,  0.00, 3255962745, 3227543000,   27996000, 3276276934
367930.exe  , 67.97, 55.89,  0.00,  1.02,  0.00, 2993292713, 2963143000,   30001000, 3012776080
3770539.exe , 12.21, 10.07,  0.00,  0.18,  0.00,  528887887,  499818000,   28989000,  546443130
3801417.exe , 73.65, 60.80,  0.00,  1.08,  0.00, 3188496411, 3170007000,   17994000, 3205528067
387622.exe  , 67.55, 55.55,  0.00,  1.01,  0.00, 2972782963, 2937758000,   35009000, 2992943554
