file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1016334.exe ,  6.56,  5.31,  0.00,  0.11,  0.00,  316910285,  312650000,    3982000
1135440.exe ,  7.04,  5.71,  0.00,  0.11,  0.00,  335234799,  329242000,    5986000
1147117.exe ,  7.59,  6.20,  0.00,  0.12,  0.00,  349860054,  344843000,    4997000
1199099.exe ,  6.28,  5.08,  0.00,  0.10,  0.00,  300580567,  294545000,    5990000
1379278.exe ,  9.39,  7.61,  0.00,  0.15,  0.00,  445074409,  393028000,   52003000
1400532.exe ,  8.07,  6.55,  0.00,  0.13,  0.00,  378600595,  369590000,    8990000
1604299.exe , 10.03,  8.15,  0.00,  0.16,  0.00,  472259240,  420225000,   52027000
1779544.exe , 10.95,  8.88,  0.00,  0.18,  0.00,  517320004,  459238000,   58030000
1963979.exe ,  8.13,  6.62,  0.00,  0.13,  0.00,  378791569,  374697000,    4007000
2024525.exe ,  7.02,  5.70,  0.00,  0.11,  0.00,  329939880,  321775000,    7994000
212795.exe  ,  6.34,  5.15,  0.00,  0.10,  0.00,  299231157,  293196000,    6004000
2265396.exe , 10.58,  8.60,  0.00,  0.17,  0.00,  494559143,  433474000,   61066000
2286318.exe ,  7.58,  6.17,  0.00,  0.12,  0.00,  351035419,  343000000,    8000000
2349449.exe ,  8.69,  7.04,  0.00,  0.14,  0.00,  412941581,  362959000,   49994000
2375147.exe , 10.98,  8.92,  0.00,  0.17,  0.00,  513110049,  467941000,   44994000
2381481.exe ,  9.19,  7.47,  0.00,  0.15,  0.00,  428634111,  379686000,   48959000
2490986.exe ,  8.97,  7.27,  0.00,  0.14,  0.00,  424958600,  351953000,   72990000
2614346.exe ,  8.95,  7.30,  0.00,  0.14,  0.00,  413085027,  358028000,   55004000
2807545.exe ,  7.39,  5.96,  0.00,  0.12,  0.00,  355817825,  343786000,   11992000
3007872.exe ,  6.35,  5.15,  0.00,  0.10,  0.00,  298679716,  294701000,    3995000
3050670.exe ,  7.25,  5.86,  0.00,  0.12,  0.00,  345393265,  339382000,    6006000
3121765.exe ,  6.54,  5.33,  0.00,  0.10,  0.00,  302602594,  298570000,    3994000
3401505.exe ,  9.65,  7.79,  0.00,  0.16,  0.00,  462400130,  416386000,   45932000
3509617.exe ,  8.32,  6.79,  0.00,  0.13,  0.00,  381526436,  371418000,    9984000
3585983.exe , 10.91,  8.86,  0.00,  0.17,  0.00,  513126379,  460084000,   53009000
369842.exe  , 14.77, 11.97,  0.00,  0.24,  0.00,  693955031,  634872000,   59081000
3753295.exe ,  6.27,  5.07,  0.00,  0.10,  0.00,  295733693,  286741000,    8991000
3836836.exe ,  6.47,  5.26,  0.00,  0.10,  0.00,  299921203,  294925000,    4998000
3871862.exe , 10.87,  8.84,  0.00,  0.17,  0.00,  504571241,  439490000,   65072000
3930881.exe , 10.59,  8.60,  0.00,  0.17,  0.00,  496128859,  426255000,   69877000
4327769.exe ,  6.55,  5.30,  0.00,  0.11,  0.00,  310884698,  303846000,    6996000
4462753.exe ,  7.02,  5.72,  0.00,  0.11,  0.00,  322302369,  313302000,    8979000
4547977.exe ,  9.10,  7.39,  0.00,  0.14,  0.00,  425376957,  421349000,    4003000
4713330.exe , 11.71,  9.57,  0.00,  0.18,  0.00,  530955083,  471846000,   59106000
4760452.exe ,  6.92,  5.63,  0.00,  0.11,  0.00,  321652847,  314504000,    6988000
4981872.exe , 10.99,  8.93,  0.00,  0.17,  0.00,  512676829,  452621000,   59949000
5118033.exe ,  8.69,  7.03,  0.00,  0.14,  0.00,  411420350,  369381000,   42043000
5445231.exe , 11.46,  9.30,  0.00,  0.18,  0.00,  534590508,  528576000,    6006000
5686669.exe ,  6.66,  5.40,  0.00,  0.11,  0.00,  312494243,  304505000,    7987000
5734497.exe , 16.95, 13.85,  0.00,  0.26,  0.00,  770154917,  712091000,   58007000
584976.exe  , 11.46,  9.32,  0.00,  0.18,  0.00,  530584050,  482524000,   48052000
5890862.exe , 12.86, 10.45,  0.00,  0.20,  0.00,  598128333,  589088000,    9001000
5919264.exe , 10.58,  8.64,  0.00,  0.16,  0.00,  482693580,  407608000,   74928000
5945162.exe ,  6.61,  5.40,  0.00,  0.10,  0.00,  298957606,  292736000,    6015000
6049277.exe ,  6.64,  5.42,  0.00,  0.10,  0.00,  300531760,  294309000,    6006000
6070349.exe , 10.48,  8.52,  0.00,  0.17,  0.00,  486642611,  430677000,   55958000
610376.exe  ,  7.40,  6.04,  0.00,  0.11,  0.00,  337016498,  330009000,    7000000
6388784.exe , 22.32, 18.24,  0.00,  0.34,  0.00, 1010654738,  955541000,   54973000
6522713.exe , 11.07,  9.04,  0.00,  0.17,  0.00,  503442156,  446365000,   57046000
662138.exe  ,  8.98,  7.32,  0.00,  0.14,  0.00,  411585056,  347623000,   63930000
6856892.exe ,  6.71,  5.44,  0.00,  0.11,  0.00,  313759820,  312758000,    1002000
700618.exe  , 15.84, 12.95,  0.00,  0.24,  0.00,  716553760,  708363000,    7992000
714426.exe  ,  6.26,  5.07,  0.00,  0.10,  0.00,  294229734,  286199000,    8005000
7406977.exe ,  8.21,  6.69,  0.00,  0.13,  0.00,  376876706,  318754000,   58137000
7414994.exe , 10.86,  8.88,  0.00,  0.17,  0.00,  491748586,  424593000,   67093000
7457204.exe ,  8.92,  7.28,  0.00,  0.14,  0.00,  408125808,  355040000,   53006000
784074.exe  ,  6.18,  5.02,  0.00,  0.10,  0.00,  287467484,  279455000,    7984000
7875893.exe ,  6.53,  5.28,  0.00,  0.10,  0.00,  307297045,  299167000,    8004000
7954751.exe ,  6.39,  5.17,  0.00,  0.10,  0.00,  301086050,  293049000,    8001000
7972688.exe ,  9.23,  7.46,  0.00,  0.15,  0.00,  434887424,  376797000,   57968000
7974210.exe , 10.75,  8.79,  0.00,  0.17,  0.00,  487278646,  422317000,   64895000
7977254.exe ,  6.67,  5.39,  0.00,  0.11,  0.00,  315045508,  305052000,   10001000
