file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1251351.exe , 88.00, 72.21,  0.00,  1.34,  0.00, 3938852829, 3793149000,  145005000
1678927.exe , 17.78, 14.57,  0.00,  0.27,  0.00,  808097379,  807021000,     998000
1712113.exe , 27.56, 22.54,  0.00,  0.43,  0.00, 1255735642, 1108527000,  147070000
1727347.exe , 85.42, 70.01,  0.00,  1.30,  0.00, 3823959728, 3681589000,  141984000
1822881.exe ,  3.09,  2.45,  0.00,  0.05,  0.00,  154681481,    5871000,    3522000
1850469.exe , 14.45, 11.90,  0.00,  0.22,  0.00,  637854098,  636755000,     999000
2233911.exe ,  2.57,  2.07,  0.00,  0.04,  0.00,  120853248,    2115000,    7089000
2372143.exe , 15.39, 12.65,  0.00,  0.23,  0.00,  685988882,  684770000,    1001000
2379673.exe ,  2.52,  1.98,  0.00,  0.04,  0.00,  130953547,    2037000,    7007000
2467040.exe ,  2.61,  2.10,  0.00,  0.04,  0.00,  123572985,    3528000,    5216000
2526872.exe , 29.90, 24.72,  0.00,  0.44,  0.00, 1297038002, 1293092000,    3997000
2559658.exe , 82.91, 68.08,  0.00,  1.26,  0.00, 3711635775, 3709329000,    1999000
2595156.exe ,  2.61,  2.10,  0.00,  0.04,  0.00,  125290112,     901000,    8115000
2630421.exe , 66.02, 54.20,  0.00,  0.99,  0.00, 2920390432, 2765029000,  154945000
2795168.exe , 15.02, 12.39,  0.00,  0.22,  0.00,  657604115,  656485000,     999000
2863666.exe , 85.68, 70.27,  0.00,  1.29,  0.00, 3807475063, 3653104000,  153962000
2863908.exe ,  2.58,  2.07,  0.00,  0.04,  0.00,  121854621,    3048000,    6096000
2881871.exe , 25.60, 20.93,  0.00,  0.39,  0.00, 1159175516, 1013257000,  145893000
3046101.exe , 37.12, 30.52,  0.00,  0.56,  0.00, 1643029157, 1641823000,    1000000
3095538.exe , 32.08, 26.04,  0.00,  0.50,  0.00, 1472891427, 1326463000,  146051000
3147217.exe ,  2.58,  2.08,  0.00,  0.04,  0.00,  122856826,    2276000,    7592000
3153091.exe , 29.66, 24.34,  0.00,  0.45,  0.00, 1322503998, 1321257000,    1000000
