file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1097695.exe ,  8.71,  7.10,  0.00,  0.14,  0.00,  406947068,  380568000,   26038000
1316078.exe , 25.76, 21.06,  0.00,  0.40,  0.00, 1185248825, 1181949000,    2997000
1375143.exe , 26.16, 21.64,  0.00,  0.39,  0.00, 1138614460, 1085513000,   53025000
1403565.exe , 66.04, 54.48,  0.00,  0.98,  0.00, 2894154847, 2889080000,    5000000
1511347.exe , 70.87, 58.21,  0.00,  1.08,  0.00, 3180625864, 3158602000,   22004000
1663963.exe , 24.79, 20.38,  0.00,  0.38,  0.00, 1111518837, 1106406000,    4997000
1765531.exe , 65.67, 54.01,  0.00,  0.99,  0.00, 2918970700, 2916664000,    2000000
1863351.exe , 21.62, 17.77,  0.00,  0.33,  0.00,  966092874,  962018000,    3995000
1908480.exe , 18.90, 15.44,  0.00,  0.29,  0.00,  867537191,  864441000,    2998000
2377312.exe , 57.68, 47.44,  0.00,  0.87,  0.00, 2567428928, 2566156000,    1000000
2470367.exe ,  6.76,  5.46,  0.00,  0.11,  0.00,  323694618,  321571000,    1997000
248468.exe  , 26.12, 21.51,  0.00,  0.39,  0.00, 1153953646, 1119649000,   33989000
248562.exe  , 19.97, 16.41,  0.00,  0.30,  0.00,  891846471,  860889000,   30960000
250468.exe  , 71.38, 58.81,  0.00,  1.07,  0.00, 3143170901, 3140982000,    1999000
2552614.exe , 70.02, 57.78,  0.00,  1.04,  0.00, 3062404656, 3058122000,    4000000
2681777.exe , 71.52, 58.84,  0.00,  1.07,  0.00, 3161580021, 3155120000,    5998000
2757092.exe , 49.13, 40.43,  0.00,  0.74,  0.00, 2167526437, 2144194000,   22991000
2796766.exe , 18.74, 15.45,  0.00,  0.28,  0.00,  820681834,  817621000,    2998000
2982528.exe , 48.26, 39.82,  0.00,  0.72,  0.00, 2107644225, 2078497000,   29006000
3162850.exe , 12.95, 10.63,  0.00,  0.20,  0.00,  579322467,  577197000,    2000000
3564636.exe , 65.64, 53.99,  0.00,  0.98,  0.00, 2900942404, 2897763000,    2999000
3574537.exe , 73.72, 60.60,  0.00,  1.10,  0.00, 3257823490, 3231445000,   25987000
3634806.exe ,  9.94,  8.22,  0.00,  0.15,  0.00,  429287320,  427182000,    2000000
3648026.exe , 22.18, 18.19,  0.00,  0.34,  0.00,  992419640,  988299000,    3997000
3660670.exe , 75.03, 61.98,  0.00,  1.10,  0.00, 3253706015, 3218195000,   34991000
367930.exe  , 69.32, 57.25,  0.00,  1.02,  0.00, 3005612963, 2973006000,   31989000
3770539.exe , 12.05,  9.90,  0.00,  0.18,  0.00,  534693634,  503714000,   30982000
3801417.exe , 73.65, 60.82,  0.00,  1.08,  0.00, 3190132817, 3161774000,   27998000
387622.exe  , 67.67, 55.69,  0.00,  1.01,  0.00, 2969929601, 2937457000,   31994000
3886650.exe , 50.48, 41.67,  0.00,  0.74,  0.00, 2190290754, 2159274000,   30989000
3963524.exe , 22.68, 18.68,  0.00,  0.34,  0.00,  992177696,  971996000,   19999000
4025112.exe , 12.73, 10.55,  0.00,  0.18,  0.00,  539972595,  512960000,   26997000
4031241.exe , 66.81, 54.98,  0.00,  1.00,  0.00, 2933258186, 2930785000,    1999000
4082343.exe , 57.62, 47.44,  0.00,  0.86,  0.00, 2524867894, 2494379000,   30004000
4096689.exe , 24.57, 20.20,  0.00,  0.37,  0.00, 1083408362, 1062373000,   21007000
4333897.exe , 50.88, 41.87,  0.00,  0.76,  0.00, 2231352568, 2200908000,   29985000
4409555.exe , 73.52, 60.59,  0.00,  1.09,  0.00, 3203259327, 3170919000,   31999000
4542735.exe , 15.16, 12.43,  0.00,  0.23,  0.00,  677157259,  652169000,   25006000
4655984.exe , 72.33, 59.81,  0.00,  1.05,  0.00, 3103600311, 3078265000,   24994000
4657742.exe , 50.92, 42.06,  0.00,  0.75,  0.00, 2198380983, 2175064000,   22990000
4727569.exe , 51.04, 42.13,  0.00,  0.75,  0.00, 2206632365, 2179502000,   26993000
4753684.exe , 47.20, 38.81,  0.00,  0.71,  0.00, 2081032847, 2079985000,     999000
477328.exe  , 26.62, 21.78,  0.00,  0.41,  0.00, 1199729128, 1198720000,     999000
4847851.exe , 27.94, 22.84,  0.00,  0.43,  0.00, 1262176888, 1257945000,    3996000
4886272.exe , 61.30, 50.49,  0.00,  0.91,  0.00, 2673843847, 2637664000,   35995000
4947084.exe , 67.52, 55.64,  0.00,  1.00,  0.00, 2944472581, 2940972000,    2998000
5188861.exe , 26.30, 21.63,  0.00,  0.39,  0.00, 1157438210, 1154408000,    2998000
5299880.exe , 13.65, 11.16,  0.00,  0.21,  0.00,  618627211,  585637000,   32979000
5510670.exe , 50.92, 42.07,  0.00,  0.75,  0.00, 2194260102, 2176046000,   18000000
5568655.exe , 22.86, 18.83,  0.00,  0.34,  0.00,  996890588,  992794000,    3999000
5735007.exe , 15.65, 12.81,  0.00,  0.24,  0.00,  703137006,  678117000,   25004000
5752102.exe , 70.47, 58.05,  0.00,  1.04,  0.00, 3073679298, 3043115000,   30001000
5897531.exe , 28.73, 23.80,  0.00,  0.41,  0.00, 1219851653, 1217726000,    1999000
5901057.exe , 16.19, 13.28,  0.00,  0.24,  0.00,  719916419,  717873000,    2002000
6074729.exe , 40.49, 33.45,  0.00,  0.59,  0.00, 1744368968, 1727152000,   17001000
6121337.exe , 70.44, 58.01,  0.00,  1.04,  0.00, 3068397667, 3066059000,    1999000
6190417.exe , 36.75, 30.47,  0.00,  0.53,  0.00, 1554101550, 1550957000,    2997000
6386527.exe , 30.76, 25.22,  0.00,  0.46,  0.00, 1367928817, 1363830000,    3999000
6466356.exe , 27.93, 22.97,  0.00,  0.42,  0.00, 1229256026, 1225920000,    2997000
648321.exe  , 42.04, 34.71,  0.00,  0.62,  0.00, 1815004460, 1813699000,     999000
657396.exe  , 22.76, 18.76,  0.00,  0.34,  0.00,  992177763,  989065000,    3000000
6595850.exe , 47.02, 38.88,  0.00,  0.69,  0.00, 2017837001, 2016548000,     999000
6596819.exe , 68.52, 56.44,  0.00,  1.01,  0.00, 2980600988, 2952587000,   28005000
6632440.exe , 28.74, 23.59,  0.00,  0.43,  0.00, 1272499140, 1248445000,   24008000
6708862.exe , 26.33, 21.58,  0.00,  0.40,  0.00, 1174123889, 1169102000,    5000000
6714442.exe , 67.26, 55.43,  0.00,  0.99,  0.00, 2918998188, 2916955000,    1999000
6754640.exe , 19.75, 16.18,  0.00,  0.30,  0.00,  883902695,  857984000,   25969000
7044970.exe , 24.74, 20.45,  0.00,  0.36,  0.00, 1063036404, 1038809000,   23995000
7100116.exe , 50.27, 41.36,  0.00,  0.75,  0.00, 2195085957, 2170820000,   23998000
728955.exe  , 15.86, 13.03,  0.00,  0.24,  0.00,  700445864,  699426000,    1000000
771691.exe  , 12.04,  9.85,  0.00,  0.18,  0.00,  540377420,  537362000,    3002000
776425.exe  , 51.07, 42.22,  0.00,  0.75,  0.00, 2193558493, 2163115000,   30001000
776644.exe  , 12.61, 10.40,  0.00,  0.19,  0.00,  547260977,  512209000,   35014000
8106119.exe , 38.12, 31.63,  0.00,  0.55,  0.00, 1608808809, 1581655000,   26994000
8377831.exe , 24.47, 20.09,  0.00,  0.37,  0.00, 1082973790, 1079948000,    2999000
8485745.exe , 45.77, 37.83,  0.00,  0.67,  0.00, 1967467076, 1964116000,    3000000
8601270.exe , 26.99, 22.21,  0.00,  0.40,  0.00, 1183172713, 1162989000,   19999000
8645057.exe , 26.91, 22.08,  0.00,  0.40,  0.00, 1191748147, 1189659000,    2001000
8668510.exe , 34.01, 28.13,  0.00,  0.49,  0.00, 1455990934, 1451800000,    3999000
971881.exe  , 47.26, 38.89,  0.00,  0.70,  0.00, 2064867347, 2036698000,   28009000
