file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1536382.exe ,  3.81,  3.04,  0.00,  0.06,  0.00,  185935906,  174549000,   10909000
1605758.exe ,  4.06,  3.27,  0.00,  0.07,  0.00,  193728740,  172617000,   21075000
1627487.exe ,  9.68,  7.94,  0.00,  0.15,  0.00,  428815034,  413695000,   14988000
1734547.exe , 10.33,  8.46,  0.00,  0.16,  0.00,  463566758,  432488000,   31035000
2002873.exe , 10.21,  8.31,  0.00,  0.16,  0.00,  467910604,  426973000,   40901000
2049538.exe ,  4.37,  3.52,  0.00,  0.07,  0.00,  205892725,  197948000,    7997000
2134592.exe ,  3.25,  2.64,  0.00,  0.05,  0.00,  148422478,  142352000,    6014000
2365914.exe ,  3.21,  2.58,  0.00,  0.05,  0.00,  153861431,  147906000,    5996000
2505532.exe ,  8.30,  6.77,  0.00,  0.13,  0.00,  381409686,  345393000,   35936000
2527896.exe ,  4.01,  3.24,  0.00,  0.06,  0.00,  190017320,  179997000,    9999000
2640086.exe ,  3.23,  2.59,  0.00,  0.05,  0.00,  156095385,  145986000,    9999000
3014683.exe ,  3.60,  2.90,  0.00,  0.06,  0.00,  172132752,  165101000,    7004000
3018918.exe ,  6.08,  4.90,  0.00,  0.10,  0.00,  280236905,  265154000,   15008000
3047601.exe ,  3.71,  2.98,  0.00,  0.06,  0.00,  174966351,  166941000,    7997000
3113504.exe ,  5.38,  4.37,  0.00,  0.08,  0.00,  246796313,  235700000,   10939000
3149650.exe ,  3.10,  2.50,  0.00,  0.05,  0.00,  146170039,  139130000,    7006000
3242376.exe ,  3.54,  2.85,  0.00,  0.06,  0.00,  168018707,  155973000,   11997000
3324029.exe ,  3.03,  2.43,  0.00,  0.05,  0.00,  147421309,  141367000,    5973000
3583821.exe ,  4.37,  3.53,  0.00,  0.07,  0.00,  205306576,  178173000,   27026000
3645873.exe ,  4.74,  3.84,  0.00,  0.07,  0.00,  220626938,  213560000,    7018000
3660770.exe ,  2.84,  2.29,  0.00,  0.05,  0.00,  135473913,  128335000,    7018000
3722205.exe , 10.98,  8.92,  0.00,  0.17,  0.00,  496900620,  460875000,   35990000
3806326.exe ,  3.94,  3.17,  0.00,  0.06,  0.00,  186651437,  174586000,   12040000
3843447.exe ,  4.35,  3.52,  0.00,  0.07,  0.00,  203858511,  196710000,    6989000
