file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time
1017040.exe ,  1.18,  0.92,  0.00,  0.02,  0.00,   65978732,   62787000,    2989000
1140402.exe ,  1.12,  0.88,  0.00,  0.02,  0.00,   59890691,   56894000,    2994000
1187270.exe ,  0.49,  0.38,  0.00,  0.01,  0.00,   29343907,   26404000,    2933000
1228057.exe ,  1.15,  0.92,  0.00,  0.02,  0.00,   57203983,   54142000,    2953000
1357465.exe ,  1.16,  0.92,  0.00,  0.02,  0.00,   60873420,   59877000,     997000
1367032.exe ,  1.14,  0.90,  0.00,  0.02,  0.00,   60762933,   55871000,    4901000
1803796.exe ,  1.85,  1.48,  0.00,  0.03,  0.00,   91426409,   86405000,    5023000
1992685.exe ,  1.14,  0.90,  0.00,  0.02,  0.00,   59175989,   58192000,    1003000
2006045.exe ,  0.36,  0.27,  0.00,  0.01,  0.00,   21723661,   18740000,    2959000
2169893.exe ,  1.18,  0.93,  0.00,  0.02,  0.00,   62760946,   60819000,    1994000
2312876.exe ,  2.28,  1.83,  0.00,  0.04,  0.00,  112616367,  111627000,     996000
2395064.exe ,  1.98,  1.59,  0.00,  0.03,  0.00,   95776275,   80965000,   14810000
2436754.exe ,  0.58,  0.47,  0.00,  0.01,  0.00,   27120856,   24079000,    3009000
2448903.exe ,  1.13,  0.89,  0.00,  0.02,  0.00,   61128292,   59146000,    2004000
2462469.exe ,  0.18,  0.14,  0.00,  0.00,  0.00,   11055315,    9050000,    2011000
275342.exe  ,  1.13,  0.90,  0.00,  0.02,  0.00,   58581902,   55559000,    3030000
2802363.exe ,  1.32,  1.03,  0.00,  0.02,  0.00,   71077545,   70100000,    1001000
2823661.exe ,  0.36,  0.26,  0.00,  0.01,  0.00,   18704425,   14716000,    3924000
3095970.exe ,  0.71,  0.54,  0.00,  0.01,  0.00,   41103767,   32122000,    9034000
3644759.exe ,  0.24,  0.18,  0.00,  0.01,  0.00,   15264727,   11222000,    4081000
3648700.exe ,  1.15,  0.90,  0.00,  0.02,  0.00,   61548296,   61561000,          0
4011765.exe ,  1.24,  1.01,  0.00,  0.02,  0.00,   55155175,   53194000,    2007000
4076325.exe ,  0.54,  0.41,  0.00,  0.01,  0.00,   32604871,   31642000,     988000
4162451.exe ,  0.16,  0.12,  0.00,  0.00,  0.00,   11293937,    9377000,    1875000
4162787.exe ,  1.14,  0.88,  0.00,  0.02,  0.00,   63397246,   61412000,    1981000
4234660.exe ,  1.43,  1.12,  0.00,  0.03,  0.00,   78522021,   77444000,    1005000
4353494.exe ,  1.23,  0.96,  0.00,  0.02,  0.00,   67272252,   64216000,    3010000
4359088.exe ,  0.13,  0.09,  0.00,  0.00,  0.00,    9073083,    6081000,    3040000
4401483.exe ,  1.19,  0.94,  0.00,  0.02,  0.00,   61938805,   59916000,    2031000
4445110.exe ,  1.16,  0.92,  0.00,  0.02,  0.00,   59569142,   57564000,    1984000
4661444.exe ,  0.69,  0.53,  0.00,  0.01,  0.00,   38333478,   34298000,    4035000
481317.exe  ,  1.14,  0.89,  0.00,  0.02,  0.00,   62133042,   60177000,    1973000
4842228.exe ,  3.18,  2.48,  0.00,  0.06,  0.00,  169059996,   16384000,    4943000
4871001.exe ,  0.76,  0.61,  0.00,  0.01,  0.00,   37698942,   34793000,    2899000
5061073.exe ,  2.52,  2.02,  0.00,  0.04,  0.00,  124825962,  121750000,    2993000
5147312.exe ,  0.31,  0.23,  0.00,  0.01,  0.00,   20335344,   19323000,    1017000
5166283.exe ,  0.41,  0.31,  0.00,  0.01,  0.00,   25847781,   20909000,    4978000
5262953.exe ,  1.30,  1.01,  0.00,  0.02,  0.00,   71020645,   67022000,    4001000
5340199.exe ,  0.60,  0.46,  0.00,  0.01,  0.00,   34381477,   27284000,    7073000
5380357.exe ,  0.70,  0.55,  0.00,  0.01,  0.00,   36985149,   27994000,    8998000
5390420.exe ,  0.39,  0.30,  0.00,  0.01,  0.00,   21118752,   16313000,    4798000
5485043.exe ,  0.32,  0.24,  0.00,  0.01,  0.00,   21786125,   17858000,    3968000
5724538.exe ,  0.52,  0.39,  0.00,  0.01,  0.00,   31782851,   28795000,    2978000
5751397.exe ,  0.64,  0.49,  0.00,  0.01,  0.00,   36582226,   29589000,    6904000
5758118.exe ,  0.17,  0.13,  0.00,  0.00,  0.00,   11004333,    9014000,    2003000
5823527.exe ,  0.24,  0.18,  0.00,  0.01,  0.00,   15001128,   10987000,    3995000
5857996.exe ,  1.14,  0.89,  0.00,  0.02,  0.00,   62393584,   60390000,    2013000
5975293.exe ,  1.24,  0.99,  0.00,  0.02,  0.00,   62037067,   61011000,    1000000
6063773.exe ,  0.19,  0.14,  0.00,  0.00,  0.00,   11858411,    8844000,    2948000
614480.exe  ,  0.26,  0.20,  0.00,  0.00,  0.00,   13832669,   10764000,    2935000
6280079.exe ,  0.53,  0.40,  0.00,  0.01,  0.00,   33076003,   30069000,    3006000
6311951.exe ,  0.59,  0.45,  0.00,  0.01,  0.00,   34135564,   33135000,    1004000
6322924.exe ,  0.34,  0.25,  0.00,  0.01,  0.00,   21890909,   20882000,    1044000
6568644.exe ,  0.75,  0.59,  0.00,  0.01,  0.00,   39083368,   32239000,    6838000
6599213.exe ,  0.50,  0.38,  0.00,  0.01,  0.00,   28349267,   15593000,   12670000
6637031.exe ,  0.58,  0.45,  0.00,  0.01,  0.00,   31053136,   27020000,    4003000
