file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1044060.exe,868519042,799752472,3465070,270085,156626130,2249572,20545,156089296,2209447,208941337,121997886,129822366,5289716,1318871,53071,187209,21853,216224747,121118,135530149,210993,174291,32124,247221000,61054000
1196025.exe,215900478,391024736,1747104,124335,80697970,463235,1970,77420247,461856,103380137,1778959,51913486,680017,763900,42152,98037,48082,106630595,18280,54723600,9049,11468,3640,75790000,8084000
1514231.exe,241960799,380830357,2216153,476265,75893446,795974,3288,76230400,615068,104100893,2578790,53958823,897551,839872,70771,151760,26833,125471538,79506,59567551,39443,17073,4068,80628000,11944000
1557029.exe,416579251,911775128,2068592,166348,195094261,796481,1890,194219117,824822,300447744,1811718,166957900,1018124,714281,56483,96424,10102,295858522,20830,156549259,12923,26419,4465,145039000,8002000
1878308.exe,212554962,389429756,1399863,168156,79270977,484094,1863,76745280,470118,101017798,1887526,48016997,610358,874312,71905,60912,7508,112793963,19870,55188665,10088,12503,3783,72359000,9044000
2455153.exe,213108298,396966129,1745087,170133,78598423,469502,1875,76281970,463850,103248271,1811997,51704092,638904,788547,61824,80729,22611,107333699,17369,54581994,9298,12359,3162,71342000,12881000
2507278.exe,219689196,413323408,1364145,146318,75225913,771949,2820,68162712,832872,93125046,2598140,48742423,636480,1049206,66987,101068,8869,126927471,16954,62647010,13936,13041,2046,68437000,7044000
3705374.exe,256017885,396320760,2044910,297097,77889205,822857,2585,77677003,707459,104346620,3401524,54229083,1030805,1665953,116035,151729,25463,127974561,78636,59064584,35754,14237,3918,89041000,10004000
4162488.exe,224799926,387629474,1694589,241386,72295324,1082618,2700,69558944,1194750,95532801,2689452,53524072,662816,1232752,142923,128065,22825,125874796,72036,62073166,44695,15865,4173,71567000,6957000
4289964.exe,331158798,473901014,2083298,525332,96686401,1400784,3735,91975140,1383053,120062593,3500436,59461103,1019072,1721346,393941,141222,39310,131886384,262875,67579507,89919,23508,6389,111666000,12961000
4387633.exe,220169669,387292080,1816959,179320,80399916,465810,2355,76621570,476082,104549580,1798572,53341604,734783,788418,55846,92145,11154,96224137,20267,53099340,12012,17999,3699,77076000,8007000
5331185.exe,242206667,360575849,1997477,360385,73642816,765269,2706,74115074,640960,102848487,2612206,54701056,857366,1024582,87230,148717,32213,112072457,71667,53829932,42338,25964,4666,83391000,10920000
5425747.exe,234665651,381919191,1918812,172509,80396976,681621,1969,81455424,479586,110918517,2153711,56383849,1044835,752439,50437,58772,6018,104609708,11408,53456979,8293,11318,2737,81646000,8063000
5895782.exe,449425287,981681039,1563535,248365,193934328,1606512,2683,186087586,1620799,283911257,3079462,157188334,1075898,1313886,153496,127216,20164,335062468,59562,181416188,36701,26533,6492,153371000,11951000
5940700.exe,229023274,375254022,1887658,191964,79151680,536819,1967,79839084,445052,106021512,1844795,56450868,769528,760112,63744,74229,12718,95611473,16737,46870514,8847,10609,2673,79157000,10019000
685296.exe,213484217,378027441,1804530,155961,78067040,458560,1870,74162002,459070,100589580,1768919,53451316,735955,737129,57115,53961,5840,97857043,16534,51541459,8634,11408,4105,78530000,5964000
7247866.exe,217505318,382653249,1841259,163407,79319209,454439,1887,75054892,469895,101995625,1793372,53229055,856486,744907,62062,53848,5932,93247136,14761,51261001,8386,12409,3509,79581000,5036000
7249876.exe,260805003,389479464,2587486,1068907,87688645,405122,7242,87820660,424704,117297150,2137916,63909081,816178,720332,71547,115989,53969,94873651,20177,53518558,56710,62739,9330,72440000,16097000
7515958.exe,240309834,356521109,2065740,400641,73713621,831602,2702,73652968,661438,100764442,2543915,53141823,865499,946568,80909,150623,32262,120927007,72803,55450271,46537,25526,8587,82198000,11026000
965589.exe,296180858,428066851,1951234,842560,93615002,415373,4021,95168415,360178,126042723,2789178,65660602,1346870,996368,394747,307189,100251,121828904,303533,60137387,105976,25203,4579,95135000,15855000
