file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1016334.exe,181716051,252344987,1403532,116085,49172795,380382,2479,50951255,387770,72924664,1966461,31763009,839849,223204,24541,36272,36686,81618569,9498,34284009,19662,21681,3816,60923000,10986000
1135440.exe,186991473,270765948,1449573,254889,53399336,1105891,2479,53655522,1099037,70859008,2444843,32919907,720986,258862,20527,34758,25321,94924741,21204,37036532,12144,21231,2644,57097000,6010000
1147117.exe,193226967,282701623,1588111,309473,58023247,923318,2675,57269916,958814,74181165,2001638,34076277,730949,192470,20962,29661,29620,87827715,7433,38940581,16427,18371,3878,60555000,5046000
1199099.exe,182410414,251371166,1386591,202202,49654527,376652,2480,52261760,376726,73468330,1946125,32150229,860325,182280,32973,35868,30726,77682656,9312,33222209,19344,22566,2780,64906000,5991000
1379278.exe,191291835,245241615,1104603,102889,55718476,874277,2478,57618360,812681,71728788,2174656,34580613,712958,349155,63339,32067,28448,70015199,7645,32152855,16452,13553,1833,65846000,9976000
1400532.exe,285135031,542578323,1597466,294700,111831686,608120,2476,111630540,606707,177657821,2295095,93698514,1105139,165830,22756,29781,20400,185815045,16881,88130857,14974,26922,4001,102867000,5992000
1604299.exe,294502027,544330258,1784744,281400,110766901,699117,2473,110387644,703124,176452194,2241520,93070329,1015087,148466,23055,31065,24824,191172259,9889,95415557,16662,22930,3258,100839000,8985000
1779544.exe,286242648,545458898,1720335,264824,112853483,605908,2473,112254066,599891,177649499,2227779,93860298,1031629,158413,21829,30366,20560,179226644,13040,87535393,15008,26804,5160,97710000,11080000
1963979.exe,290925940,542931152,1777444,281101,111459249,596206,2474,109837088,589348,175030734,2232596,92127645,1007070,147167,21146,32862,26197,187403873,9715,93842064,16896,28050,3503,101637000,8050000
2024525.exe,178132317,248303329,1371050,274531,50971224,376150,2480,52562638,368878,72283440,2016829,32657634,849779,178015,25837,35782,28890,76107846,10218,32346201,19860,23121,3072,60513000,10912000
212795.exe,179113012,238236730,1585294,323123,51625813,278497,2870,51218873,281029,73204686,1762664,38536870,1483584,204563,32752,53492,43448,65773484,11097,29143292,23774,29667,4832,60773000,9116000
2265396.exe,285518772,537992006,1354421,295470,112869647,713028,2475,111502428,718160,180037915,2336219,93808384,927319,168916,22270,29793,20587,181592082,16932,88699529,14224,24775,5711,99202000,9018000
2286318.exe,214724641,275753500,1415232,460053,58207085,893788,3259,57990347,856069,70502368,3407851,32549885,716153,297609,52829,35155,26803,74529196,18336,34705037,24584,29066,4596,64090000,9012000
2349449.exe,172169506,257835154,1048552,170569,50394073,367394,2479,48811065,352874,69015415,2284867,30555863,565353,333048,47868,25073,21635,79934286,10865,33747044,16360,20645,4294,56437000,4031000
2375147.exe,289017870,546974082,1815280,291593,112059965,596764,2473,113649655,597075,177747363,2160462,93777875,1059603,149211,21367,33006,23281,180265813,10438,89656671,14947,26461,3380,103247000,6014000
2381481.exe,180211192,242167693,1237394,227568,49653784,372261,2870,47936180,361510,69925878,2094342,32653647,864734,250869,50531,35006,30841,78904675,9241,34131851,20023,20471,3648,63264000,10041000
2490986.exe,173689208,237795455,1635815,311834,52738585,279572,2674,52064780,266846,74749102,1375224,37558044,652847,121446,23352,43724,37292,65976739,9446,27552102,22800,25901,3794,59298000,11055000
2614346.exe,188022067,259994742,1148604,120966,52111406,381267,2672,52378309,393134,76284316,2149999,34715608,780762,345618,71948,36808,32855,83187573,8812,35417215,20153,18731,3972,67471000,8930000
2807545.exe,176623325,241584940,1491425,305798,52569668,373741,2479,52418352,373739,70798299,1984903,31712074,832763,176700,23868,33718,26676,73683636,10706,30491448,18544,18490,3224,62838000,7094000
3007872.exe,177526043,248981262,1434349,255207,49901715,382962,2482,52432899,375231,73176279,1999207,32271862,787509,185923,41420,35759,30792,76614266,9972,32932166,19439,22701,2763,61699000,10946000
3050670.exe,180762219,248581887,1378645,244694,50290503,381170,2479,52351423,365650,71507583,1920872,31779413,819525,174362,28705,37264,31117,76379105,10051,31766693,19227,16060,3360,61277000,10045000
3121765.exe,177506275,245571036,1385538,289909,52364730,368925,2478,52476987,367245,70997736,2005471,32428976,760309,174425,22945,34739,27621,72748217,10081,30945759,19120,22628,3333,62766000,7970000
3401505.exe,189444224,257188585,1267900,272366,50394973,387985,2477,52165337,385051,73092135,1811849,32000597,794259,226067,51735,34086,27986,76263434,9595,32953137,20059,24209,2804,67893000,4992000
3509617.exe,296133065,545971336,1823229,349813,112243032,782829,2474,112658026,779847,176018613,2377744,92528001,1011948,158241,21115,31747,25486,189959029,12103,93381431,15451,27218,147156,104617000,6035000
3585983.exe,289582914,560617257,754646,102922,111096440,702436,2475,111181085,698022,172667664,2468091,88618393,809355,443273,73006,31677,25887,192177058,5241,97179510,18295,25100,3178,96003000,2000000
369842.exe,435768857,703831408,2599981,870007,142548744,723911,4820,139663355,690435,212602886,5573810,104463563,1487213,609643,282992,55795,47605,226373898,65035,110544899,34545,49754,6351,144780000,13978000
3753295.exe,180835451,250900341,1454779,313303,52829751,383035,2478,52174816,370841,71339453,1918837,32143251,768217,186531,28336,35918,27823,75230001,9947,31635589,19099,18636,3364,56781000,13946000
3836836.exe,292998841,545038456,1821838,341547,111706896,672777,2474,111350057,670326,176502161,2234798,92811686,925839,140585,20832,31372,26226,187628226,10707,92126984,16224,22668,3176,101578000,9051000
3871862.exe,287743773,545322126,1653643,256983,113313290,599635,2472,113106668,594069,179359384,2152536,92527036,916795,156100,21377,31329,21379,182531612,16181,88295449,15315,23369,6411,96015000,12001000
3930881.exe,287363307,568596870,853375,157352,113244937,554287,2473,111686808,564332,169684147,2529362,87183164,852872,421863,72965,36474,26899,194056271,6729,99324179,18195,30800,3894,90964000,6064000
4327769.exe,180194395,243612126,1145513,175758,49065333,365043,2478,47921589,371891,70725025,2067329,32079797,830128,282980,56622,36040,30505,75169448,8703,32482534,19619,20540,3570,66209000,7022000
4462753.exe,170974933,251329014,842415,166017,47727385,344924,2870,47454359,340379,68166703,1895982,31528356,596306,359942,83094,26049,24346,79565051,8119,34813200,17299,20660,4156,51273000,6902000
4547977.exe,293066523,536645085,1281535,270889,115010914,1164892,2669,117950197,1140289,175949874,2657447,98372581,1087250,281881,70540,35715,27315,176628591,10249,92559582,15855,27272,4732,106530000,9956000
4713330.exe,305323311,573754864,1499653,216603,120515563,1168759,2471,118386501,1118372,176717171,2742650,92571447,1042006,163508,23902,32488,25127,188868497,8353,96967425,15233,30367,3668,107440000,7028000
4760452.exe,176685525,246433216,1545277,310063,52714763,368964,2479,51516896,371530,70767223,1716470,30344831,758482,157558,23364,32707,25132,73266470,11382,30677233,17789,17525,2802,64409000,4025000
4981872.exe,297975203,550487848,1796426,350077,112700442,679497,2473,111899601,676211,177940233,2382081,92200562,918160,148596,23786,30688,26011,190885825,10995,94735051,16771,24422,3749,99190000,10910000
5118033.exe,182411329,248950230,1289047,208004,49100150,372959,2478,50044441,383459,72227098,1948413,31729359,823940,222156,43238,36238,31141,76071888,9329,32798909,19599,20386,3653,62303000,9889000
5445231.exe,177607805,241707033,1368948,275334,51605905,373228,2480,52495902,370552,71938792,2025281,32329183,808267,180864,26064,35315,29959,78003087,10034,32196447,19366,19327,3264,64430000,5947000
5686669.exe,177164215,247467411,1371257,268144,51408248,376916,2479,52130780,369966,71190772,1935026,31901549,795201,172591,23711,36998,31404,77412577,9768,32283590,19304,22178,3407,63314000,7034000
5734497.exe,296524348,547918222,1847424,368938,111829195,695840,2473,110526397,689335,175971190,2254347,94143524,1022068,142911,22981,32471,26647,191220142,10608,95181017,16851,25806,3718,105106000,6006000
584976.exe,292750002,564816728,790663,121009,118842250,1211746,2472,118031464,1204721,174165385,2387097,91573156,789605,437049,83432,39237,25934,186664745,5960,97227832,16395,34180,3958,94323000,5957000
5890862.exe,182375878,252257475,1463679,252507,49424834,370956,2873,51229147,359285,72218501,2053975,32633817,989302,195158,36405,36512,31138,81741444,10453,34977718,20495,13950,12420,64194000,8024000
5919264.exe,297659423,547722184,1805300,335725,112151911,652779,2472,110163413,672310,174737276,2353680,91807294,1106349,148720,24905,32609,25361,186259882,8303,95307154,17630,23270,3627,102139000,9012000
