file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
1149166.exe,63982466,169337057,318885,53014,40737231,125073,524,37074033,128410,33011029,378612,13115921,376567,16730,1935,8690,7274,37476105,2229,23032461,3658,5772,819,19529000,4111000
1659823.exe,4751092,4812194,106770,19198,1066986,29123,135,1001568,29013,1421488,72034,746375,213854,11740,15,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,833000,3334000
1716934.exe,3532660,4340761,82143,18994,997614,27245,134,995949,27175,1414693,77934,596673,62841,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,769000,1538000
1793587.exe,6841350,1137081,101419,11739,1038736,30524,137,1015021,29420,1443699,71994,820436,144643,21327,434,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1051000,3153000
1995279.exe,54277578,132144544,308555,58256,24915537,68814,917,23474404,70765,25115291,618690,12687683,351702,24551,6922,8921,1451,40597867,1621,20681315,263,1165,488,23565000,5891000
2012602.exe,117614906,272162636,336502,71563,54530259,101239,1036,49896423,75918,83832760,344751,49657930,311618,14207,5435,14764,14574,91398801,1740,29154224,4858,6979,2048,37422000,3034000
2099466.exe,108729547,269234637,285585,45331,51665366,110771,521,47769902,112338,62431144,368978,37450433,491569,16080,5897,4453,1419,92880080,1736,50432230,263,6361,524,41670000,5081000
2230190.exe,200434575,244149905,404249,78258,45120718,399026,2480,45402760,402949,70076713,4105637,32133654,695662,91395,53939,37627,28914,73719845,6894,31633491,17663,23416,3676,70757000,8969000
232374.exe,62611425,130487017,388167,70348,26999575,91002,1042,32763582,96529,42227737,535762,11344567,308158,22261,4503,49709,8155,40922137,4129,22380208,5148,5644,2933,27168000,7043000
2353585.exe,47432514,117220617,250586,48402,20473987,68522,527,17569194,69984,22112051,242273,8517964,441859,12151,4291,2893,850,36574504,1331,16703720,143,854,392,20895000,3980000
2430690.exe,3103879,4395541,84214,18357,989436,27430,131,988724,27356,1403589,80054,613477,62040,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,2392000,0
2545079.exe,53476281,112509359,276876,56440,21316433,96007,785,18433228,75997,29349806,284900,19732699,198709,26378,5710,4707,614,47493899,592,21820226,1126,2013,1064,18912000,1050000
2745668.exe,124001673,299395788,349505,82104,63091695,106776,1940,66586306,116829,85694715,1303198,32839207,453517,35019,9867,94324,68326,81167242,7100,49168820,42183,21187,3632,45497000,8901000
2764661.exe,116279801,290503858,336637,47211,68895751,121472,522,70369178,142565,76709765,615517,35276615,355992,24934,7246,3842,951,97502309,1383,53770822,225,8454,451,47493000,3031000
2939537.exe,52433427,113304058,252285,33858,21704215,69718,525,23244698,78654,30844855,342386,17018922,315482,25243,4864,8874,6150,28960584,1987,17147167,2828,4084,992,26325000,4050000
3043260.exe,5676824,2769900,114125,15317,1035556,29639,129,997428,29439,1415590,71456,781634,160159,17183,573,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1038000,3115000
3147371.exe,46788376,100178830,283288,50782,20570535,69768,590,19300044,71483,27691349,208567,14372621,342942,26160,4694,13473,8217,26527224,2822,16057530,3366,2667,1483,24298000,3037000
3162106.exe,102371364,246061483,281418,69867,45939766,71561,996,46222923,64168,76426784,324761,45358089,284990,17809,5190,9023,8131,72769254,7651,43915441,9529,10877,2741,32894000,3987000
3323395.exe,116161218,292023209,354040,42332,72561479,137761,520,69470141,150368,73829259,593987,35601350,437603,28841,7306,3691,948,103454572,1378,53858480,191,6541,461,44693000,5078000
3439954.exe,58661817,135941212,317184,51626,26472592,79482,527,31184628,88551,37790818,545995,10255977,262715,22014,4953,8692,1428,38137528,1748,22467402,265,1189,476,28905000,4983000
3449984.exe,67177063,125798967,408119,45165,23850641,87816,1042,23875139,80484,37705576,463578,16777032,384223,26287,6926,3051,3763,39354646,7909,17918589,6765,6914,3052,29293000,7070000
3565465.exe,84878235,214185208,232236,48524,42017250,60745,324,42648438,54653,70032893,182270,39859827,177827,17629,5263,972,62,85204032,161,44175076,62,4896,139,27309000,3034000
3729533.exe,69943878,135017602,550060,39321,37326909,126283,918,29149821,115177,27142714,531156,19843001,273481,12231,8000,2511,1801,59216190,3725,18873602,606,1228,266,19644000,2946000
3732533.exe,75388954,145659537,448939,59737,45700042,137235,1945,43912401,136824,38018763,884839,19647858,425111,45584,11135,44902,76660,35654688,5870,24202683,30229,14861,3229,16042000,9024000
3765927.exe,48872248,92769498,284952,38819,19470780,69810,1042,19885471,67154,27735051,280507,15115416,408042,31964,5780,3199,12827,23698704,4999,13290642,8454,5086,1993,21937000,5983000
3822578.exe,58826208,133729860,310929,49441,25029198,74488,527,28541727,83463,36435960,520255,11395598,311094,21877,6766,9207,1449,32950484,3587,20890030,402,1776,1036,31643000,3062000
3883933.exe,6006153,1824744,128333,15816,1083894,31201,130,1026609,30795,1463792,73548,786158,161910,14176,1575,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1039000,3118000
3950735.exe,72878701,133348577,574544,88666,22337346,97609,1946,22345811,92628,36132806,650606,19013339,405016,32210,7458,2925,1352,45379685,7450,15709014,11449,12410,3623,31112000,6021000
4068144.exe,5152704,1034164,92340,9349,813206,30262,135,1007419,30170,1428134,72225,990288,232966,21661,2505,<not counted>,0,245490,926,192811,0,1428,513,1048000,3146000
4072037.exe,50863000,113397287,273917,52569,21952399,71975,526,30073217,83403,45523195,577616,12677106,327286,26315,5081,7292,4406,29179889,2188,17718434,2948,3539,1553,27098000,4014000
4114470.exe,114457508,290057070,312881,42043,68516116,113783,522,70137026,138667,76936443,620979,35298434,393184,29568,8084,6912,1432,97534268,1518,54065919,233,7918,503,47688000,3043000
4209745.exe,59108447,140761443,346299,55501,27459973,78790,523,28383864,71835,38261845,209796,29229771,348458,18711,5111,11326,5214,29535014,5916,23027877,2643,4265,1968,33343000,2020000
4305280.exe,24046711,36943113,413662,78587,10220074,72889,330,13747253,55653,22904153,162984,15433398,120295,11097,5537,367,364,27059444,3896,13538624,527,3784,2116,14769000,0
4319837.exe,46078809,103953461,247297,31922,20495282,70214,134,18803630,68708,25364530,161716,12370360,289956,21083,4498,2926,867,27347522,1534,15458599,264,999,531,22983000,2997000
4643636.exe,74014974,138371697,540484,72028,20823422,86698,1945,21202085,80563,33551669,460246,19640986,406653,31335,6557,3051,845,55133789,7098,14945625,15176,10045,3378,27620000,10229000
4650272.exe,4077685,674101,76384,14369,996183,29017,134,995471,28948,1414280,72360,1265848,406541,7334,123,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1192000,1192000
4690871.exe,13831828,16756794,433421,101535,9574914,75987,330,13529502,59302,23106623,167863,16299950,75254,8213,5257,4698,1306,25321938,9152,12765229,910,5325,3960,10312000,3750000
4717944.exe,114666931,289152290,311312,30695,67082420,110281,521,68279251,131574,77343790,705677,32704400,414547,34394,9398,5473,1884,96953346,1892,52703208,220,6576,532,45952000,4994000
4771917.exe,59659059,149013223,330095,49982,36623220,121474,525,23970495,91056,24995301,203615,17933313,257143,14103,6904,9134,7150,44633180,1119,16773093,2074,3634,1022,17846000,2099000
480440.exe,52779977,101861948,320379,60136,14779533,94733,524,12010832,72246,24496009,235304,18227086,224753,9089,5912,737,137,39742403,75,20101377,238,2170,1032,15510000,2908000
5019612.exe,114517350,250933226,349165,75649,52505029,93479,1036,51122605,74436,84593197,350481,53279382,305939,12899,4704,17418,744,93790296,837,31962617,1930,6170,1612,35140000,5020000
5124430.exe,5200705,2979481,100471,15883,998006,30029,138,1017308,30275,1443826,81907,902889,226369,15619,157,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,2072000,2072000
5254730.exe,128327566,274929505,363435,35971,58002910,81461,1940,60151217,99265,88104870,1076145,34846808,543999,46294,8292,11908,15847,75310822,8089,44587374,30854,19632,4243,48004000,7000000
5308953.exe,58775307,133089148,201748,51075,21024963,72376,319,19643982,72005,26243103,172776,24253896,213399,13721,5830,5134,3478,39926381,1428,28683925,1291,2833,1265,17629000,2074000
532489.exe,109335921,282617009,386136,41358,68106664,133913,520,65755751,135389,83475603,599533,38012779,476649,26448,8023,8770,5864,92036314,2408,50224044,2787,9157,1073,44003000,3000000
5336754.exe,92089833,218029403,172654,46423,39424867,64453,325,40245805,58582,66479091,171216,38940959,250408,18615,5849,2180,81,89430887,272,46444853,70,3749,145,29075000,2005000
5426822.exe,58736847,134553525,356552,48079,25789573,77597,919,26602096,81169,35362863,821992,11255488,316884,29602,4438,15113,3694,32762682,5135,20228123,821,2118,2124,29452000,5078000
5451480.exe,90457934,171876159,583150,74748,51026375,144897,2816,50625258,142692,41112930,1202801,16108277,460743,74525,17359,7895,688,51247444,6689,28716028,33192,13869,4220,22958000,6987000
5455896.exe,69607962,149076899,291993,39127,40232015,122622,525,33113337,107855,29126515,347683,18944198,221388,15089,7394,1797,158,56962436,293,21855395,68,1161,40,19853000,3134000
5498474.exe,106006298,257847984,303836,54729,49305479,88582,1427,45138597,90796,65552078,383795,32919736,594995,19878,4704,19616,34007,80482819,5297,43394742,18877,14223,2159,38728000,7134000
5559137.exe,117325171,287380399,344249,47619,67897862,114764,1035,71709456,152005,83075258,709477,36493234,479119,33198,8196,18019,8933,107490027,3215,57142457,5038,11947,1668,46124000,5013000
5643157.exe,184995567,261352709,526515,153329,64665366,379030,2676,62859657,365988,67626336,5707069,30787557,711740,82832,34021,43543,33600,72005256,5004,31636839,19922,29209,4211,57877000,14968000
5672644.exe,51727068,120845005,250882,29236,23308016,67735,526,24635083,67976,32341301,577748,15701331,350703,30501,6120,4903,1369,31318068,1621,17382626,743,1186,469,26210000,4032000
5674051.exe,117912863,280378194,355435,53540,53079731,113441,779,53562787,124254,77385478,760004,43380993,304847,25534,6505,3429,910,102501321,1481,52840983,187,5138,1144,44669000,5955000
5674331.exe,230547373,244728942,971554,427547,49911947,242339,4139,49016659,241877,69604853,4421704,30922047,793887,45163,4679,62963,63641,67974282,10728,31080814,29567,29539,4769,80415000,7942000
5674864.exe,61522019,117551546,410780,58131,23439442,83481,1043,25986300,83310,38859136,452930,15436744,340675,20191,3947,7464,17706,34650433,9186,22079889,7530,7883,3414,32702000,2972000
5674877.exe,107358306,264796606,318506,46149,50406584,95385,779,47542993,97476,64156488,402416,38286470,407583,31991,6596,3528,5898,94227281,2097,49321549,2753,6676,1033,42466000,4044000
5674990.exe,54787942,106637997,277201,39422,20695605,69544,916,23775552,93850,31823395,599626,17962278,410587,31003,7389,15082,11896,37506487,3492,19581227,5912,5619,2017,23855000,4969000
5674998.exe,109492074,287349804,309338,24469,70862522,146173,521,66320049,149877,79643557,693723,34200219,570238,21561,5367,4277,919,99930899,1372,51926416,190,7772,518,42603000,4057000
5675116.exe,5581456,965727,104176,12095,985509,29919,130,999941,29771,1418931,72893,867530,176662,20631,1088,4742,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1030000,3091000
5676714.exe,75068143,139992350,610026,90333,21015460,94420,1945,22482503,87966,36749822,668694,19923901,447104,39831,13173,4132,810,53850328,6922,16107129,13296,12438,3636,26873000,10948000
5898075.exe,111144711,282579542,338916,22577,70602928,129837,521,66416965,134540,80552987,699844,35935204,669824,28218,6941,5852,1471,103727059,1660,54041710,208,8125,510,42390000,4037000
5987333.exe,46035307,103890814,238229,30264,20637772,66991,329,19460820,67650,25853830,192231,12763788,340179,22335,3857,4308,3066,28377695,1695,15503037,1370,2821,1517,22230000,4041000
6116938.exe,80337161,162162283,502743,68461,50893867,136200,2817,44557715,122578,38684119,1135587,19694411,433177,85571,22168,51917,89379,38716338,6741,26878735,33989,14619,3499,22451000,6123000
6346887.exe,53117813,126039587,331727,51183,24694926,73524,917,26378446,92216,31778072,601244,15041852,606609,27111,5266,4406,1488,38043566,1644,19787392,362,1019,718,23269000,6070000
6505953.exe,5078862,931755,87480,9523,857951,29993,136,1014018,30022,1440094,74787,999946,218363,32589,2728,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1056000,3170000
6776171.exe,4499743,3561397,94124,17003,1010325,29524,129,996031,29459,1415082,80380,865353,216843,15531,51,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1660000,2490000
6820816.exe,117365832,296999046,490750,52845,65356536,103836,912,65924232,112838,78610527,1345543,29159948,428666,38120,8756,8074,3603,98997634,2104,53540979,684,6022,1420,42929000,8985000
6962942.exe,59729551,140632457,288961,49503,26708560,76438,522,28707057,70738,38579822,206071,30137140,321864,20224,5833,11941,4379,33581156,5551,26054671,2630,4272,3984,30648000,4943000
6967240.exe,6933734,5349864,104087,19798,1077849,28731,130,997517,29048,1416724,76034,737112,161052,16459,184,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,1662000,2494000
7189608.exe,106625355,285207070,320897,31347,69917534,146242,519,65317620,150078,78782710,686155,35359004,547074,20343,5897,4896,1718,100109592,1366,52230292,169,6637,486,41910000,4989000
7204213.exe,101732449,258946397,297069,36887,47549877,80373,519,42242067,83563,62124149,285818,33470610,525972,22104,6183,4634,1016,85454598,1451,44609263,174,3785,494,39653000,4956000
7383346.exe,130095241,337485423,474270,42766,73217615,135715,912,73705352,147423,79322074,1093276,28697214,386046,38548,6978,4958,2005,120647028,1765,62830356,499,3679,600,50695000,4055000
765889.exe,47778949,85608623,286667,35089,17945096,66973,1043,18196185,65056,27769710,332104,15547014,408090,35582,6479,3060,7185,21667699,4936,14590812,9077,4948,4435,23374000,4869000
7973932.exe,115675088,254665101,316314,49332,52380832,82759,1899,53337607,92232,77811084,760982,43510457,591842,41280,10659,29297,45417,63707244,13486,41615125,43614,28178,3945,42517000,8098000
7989414.exe,306903884,278841788,525315,259798,45266715,133139,31045,40617904,141190,54731438,2721257,34045671,1637629,88741,38328,134128,125756,89708113,63912,50076260,257309,248188,31686,34138000,81329000
804800.exe,60575070,111468169,353726,54423,22091244,78189,1041,24229104,77616,37656504,450425,23501523,349668,29835,5511,7613,27086,28989189,6627,19446335,10829,7862,2259,27860000,5970000
8078753.exe,61158201,130351478,377970,58745,26107878,84996,1042,31819786,93911,41913292,499306,12072889,318321,18633,4800,25877,27639,39760433,5469,22947864,8838,7127,2741,29249000,5043000
